invoice_id,client_id,start_date,subtotal,tax,total,shipment_type
INV-05IP7S7,C70464,2024-07-16,3618.24,0.0,3618.24,GROUND
INV-05K9AA2,C98399,2024-07-16,1924.36,96.22,2020.58,GROUND
INV-05P869K,C57382,2025-06-16,8219.67,657.57,8877.24,2DAY
INV-066I3N9,C14637,2024-03-29,6727.81,0.0,6727.81,2DAY
INV-06AZ8MT,C49018,2025-11-07,1444.87,115.59,1560.46,GROUND
INV-06H6L96,C17754,2025-06-13,9295.25,929.53,10224.78,2DAY
INV-06JZUK2,C83350,2025-06-25,16253.51,812.68,17066.19,EXPRESS
INV-06LSBCI,C47375,2024-06-16,3500.87,350.09,3850.96,GROUND
INV-06S4G4W,C15499,2025-05-01,8347.26,667.78,9015.04,2DAY
INV-06Z2XJQ,C98399,2024-04-08,12200.26,0.0,12200.26,EXPRESS
INV-076LXTE,C25055,2024-03-30,2381.2,190.5,2571.7,2DAY
INV-076RK7T,C49018,2025-11-14,1439.62,143.96,1583.58,GROUND
INV-07B4OIH,C22659,2024-12-12,1191.07,119.11,1310.18,GROUND
INV-07BIYG8,C82971,2025-11-10,1627.22,162.72,1789.94,GROUND
INV-07EKL1H,C99808,2025-10-10,15395.07,769.75,16164.82,FREIGHT
INV-07K395A,C14175,2025-01-16,4401.85,220.09,4621.94,GROUND
INV-07P18OQ,C33266,2025-11-26,2587.01,129.35,2716.36,GROUND
INV-07WK009,C22659,2025-10-07,7092.79,0.0,7092.79,2DAY
INV-07XZ7KW,C02145,2025-09-06,9954.73,796.38,10751.11,2DAY
INV-082UFAF,C16655,2024-10-18,3529.1,0.0,3529.1,GROUND
INV-08KB57J,C97785,2024-03-31,3221.41,0.0,3221.41,GROUND
INV-08LQKDZ,C63096,2025-09-16,4197.21,335.78,4532.99,GROUND
INV-08VRVKN,C57382,2024-12-08,3178.17,158.91,3337.08,2DAY
INV-0904RJH,C34523,2025-01-21,3312.97,331.3,3644.27,GROUND
INV-096R3GT,C17172,2025-10-04,4150.89,207.54,4358.43,GROUND
INV-097MPFY,C17754,2025-03-10,1345.8,107.66,1453.46,GROUND
INV-09B3BU7,C16655,2025-08-29,5400.53,432.04,5832.57,EXPRESS
INV-09KNJAL,C60889,2025-02-12,3098.58,0.0,3098.58,GROUND
INV-09M7MQI,C83350,2025-09-17,4949.15,494.91,5444.06,2DAY
INV-0A0356E,C81739,2024-02-16,14961.52,0.0,14961.52,EXPRESS
INV-0A1TAGX,C47375,2024-12-07,18897.95,0.0,18897.95,EXPRESS
INV-0A2EST3,C98399,2024-11-15,14869.43,1189.55,16058.98,EXPRESS
INV-0A44D23,C77726,2024-10-19,6306.77,315.34,6622.11,EXPRESS
INV-0AGDBK4,C14175,2025-04-19,15168.85,758.44,15927.29,FREIGHT
INV-0B0N31Q,C49018,2024-01-28,13087.15,0.0,13087.15,EXPRESS
INV-0B3WYJJ,C11386,2025-04-21,10613.94,849.12,11463.06,EXPRESS
INV-0B4CAEV,C15499,2025-06-19,1335.27,66.76,1402.03,GROUND
INV-0B7Q9VU,C22659,2024-05-18,3835.42,306.83,4142.25,GROUND
INV-0B8T1ZT,C98672,2025-06-03,2769.77,138.49,2908.26,2DAY
INV-0BBNA37,C87356,2025-07-14,4876.81,390.14,5266.95,GROUND
INV-0BETCIE,C72495,2024-05-03,3639.81,363.98,4003.79,GROUND
INV-0BJAPZM,C29210,2025-10-14,4463.99,446.4,4910.39,GROUND
INV-0BO3US4,C81739,2025-06-28,12136.14,606.81,12742.95,FREIGHT
INV-0BOVN40,C28306,2024-09-25,2008.67,100.43,2109.1,GROUND
INV-0BS9F9B,C91097,2025-06-16,5911.6,472.93,6384.53,2DAY
INV-0BVLTKF,C92842,2024-09-16,4594.82,367.59,4962.41,GROUND
INV-0BWTQ5T,C81739,2024-03-07,3241.73,0.0,3241.73,GROUND
INV-0BWUOE9,C25055,2024-06-08,1624.2,81.21,1705.41,GROUND
INV-0C0I4M6,C24911,2025-11-23,3426.41,274.11,3700.52,GROUND
INV-0C5MPDQ,C29210,2025-10-19,2096.21,104.81,2201.02,GROUND
INV-0C8FYUM,C97125,2024-02-24,3152.36,315.24,3467.6,GROUND
INV-0CHWXRH,C86029,2024-11-02,49801.63,0.0,49801.63,FREIGHT
INV-0CIM22F,C33266,2025-02-17,5353.84,428.31,5782.15,2DAY
INV-0CNLSQK,C10456,2024-07-16,35356.57,0.0,35356.57,FREIGHT
INV-0COOB6Z,C22659,2025-02-25,4553.97,0.0,4553.97,GROUND
INV-0CRQDWM,C34523,2025-02-25,18628.14,1862.81,20490.95,EXPRESS
INV-0CVADLG,C97125,2025-10-24,1495.91,149.59,1645.5,GROUND
INV-0D1ED4F,C49018,2025-12-16,4239.35,0.0,4239.35,GROUND
INV-0D6PY2C,C10456,2025-12-06,3414.45,341.44,3755.89,2DAY
INV-0DE5HDA,C34523,2025-10-15,7974.43,637.95,8612.38,2DAY
INV-0DI3LSN,C47375,2024-02-21,1749.72,0.0,1749.72,GROUND
INV-0DI90QK,C99892,2025-10-04,14585.04,0.0,14585.04,EXPRESS
INV-0DOPRL4,C83948,2024-06-20,4338.28,347.06,4685.34,GROUND
INV-0DTAWQ6,C14637,2025-06-17,3800.32,0.0,3800.32,GROUND
INV-0DU0EW3,C34523,2024-06-05,1608.96,80.45,1689.41,GROUND
INV-0E43FIJ,C97125,2024-09-18,4524.0,0.0,4524.0,GROUND
INV-0EA6OMU,C77577,2024-08-20,2435.88,0.0,2435.88,GROUND
INV-0EK5A0E,C10456,2024-04-15,9208.0,920.8,10128.8,2DAY
INV-0EQJEEE,C51553,2024-02-21,6369.98,0.0,6369.98,2DAY
INV-0EXQTB4,C09581,2024-12-28,6056.43,484.51,6540.94,2DAY
INV-0EYGSQ4,C29210,2025-09-01,4295.46,214.77,4510.23,GROUND
INV-0F0S13O,C87356,2025-10-21,9512.77,761.02,10273.79,2DAY
INV-0F6I474,C29210,2025-10-08,15092.92,1509.29,16602.21,FREIGHT
INV-0F863IZ,C98672,2024-01-12,4028.45,201.42,4229.87,GROUND
INV-0FLHAP0,C86178,2024-05-18,13708.86,1096.71,14805.57,EXPRESS
INV-0FQPTBA,C99808,2024-06-08,10831.69,541.58,11373.27,EXPRESS
INV-0FRO8ST,C16180,2024-04-02,3235.91,0.0,3235.91,GROUND
INV-0FZPV7R,C14175,2025-03-10,22892.5,1831.4,24723.9,FREIGHT
INV-0G06JSM,C97785,2024-11-02,3929.14,196.46,4125.6,2DAY
INV-0G3YLJZ,C60889,2024-08-28,1774.24,88.71,1862.95,GROUND
INV-0G5NHGO,C14637,2024-06-05,2653.85,0.0,2653.85,GROUND
INV-0G9J6A1,C47375,2025-05-23,3003.23,150.16,3153.39,2DAY
INV-0GDBUXT,C43677,2025-07-11,1818.08,90.9,1908.98,GROUND
INV-0GIX98E,C99808,2024-07-30,12935.25,1293.53,14228.78,EXPRESS
INV-0GKDWUO,C17754,2025-03-19,28015.79,2241.26,30257.05,FREIGHT
INV-0GMKK7C,C78191,2025-03-11,15144.22,1211.54,16355.76,EXPRESS
INV-0GMUEGL,C92842,2025-12-16,15214.73,1521.47,16736.2,FREIGHT
INV-0GPW5WF,C57382,2024-05-14,4787.4,382.99,5170.39,GROUND
INV-0GQGOFH,C78191,2025-01-06,7421.64,742.16,8163.8,EXPRESS
INV-0GW84HM,C91097,2024-04-04,8758.06,875.81,9633.87,EXPRESS
INV-0GXRNZO,C77726,2025-05-02,4329.48,216.47,4545.95,GROUND
INV-0GY7R64,C20405,2025-09-13,13680.95,684.05,14365.0,EXPRESS
INV-0GZXT1C,C14175,2024-05-01,3940.32,394.03,4334.35,GROUND
INV-0H1NU0K,C94736,2024-07-21,26684.77,2134.78,28819.55,FREIGHT
INV-0H2HSHS,C29210,2024-08-10,9775.69,0.0,9775.69,2DAY
INV-0HBV1QK,C09581,2025-05-04,2168.74,173.5,2342.24,GROUND
INV-0HFDTWW,C78191,2025-12-21,12525.4,626.27,13151.67,EXPRESS
INV-0HHAVDI,C99808,2025-06-29,3626.67,290.13,3916.8,GROUND
INV-0HJPXK9,C91097,2025-07-31,19307.87,1544.63,20852.5,EXPRESS
INV-0HO6L9D,C98399,2024-05-05,2005.56,200.56,2206.12,GROUND
INV-0HOTJYB,C80551,2025-03-20,5393.06,269.65,5662.71,2DAY
INV-0HRBTI0,C84879,2025-10-24,2720.08,272.01,2992.09,GROUND
INV-0HZWF6L,C16180,2024-05-22,1730.84,86.54,1817.38,GROUND
INV-0I8Q4L4,C08929,2025-04-26,10405.66,1040.57,11446.23,EXPRESS
INV-0I9CB38,C57382,2024-04-16,46500.3,4650.03,51150.33,FREIGHT
INV-0IGINS0,C49018,2025-02-14,3828.88,382.89,4211.77,GROUND
INV-0IHG3HI,C83948,2024-05-14,1043.93,52.2,1096.13,GROUND
INV-0IQI5FA,C82971,2024-08-14,7185.47,718.55,7904.02,2DAY
INV-0IUECJO,C56067,2025-02-02,7433.06,0.0,7433.06,2DAY
INV-0IXAP6A,C49018,2025-09-17,37117.34,3711.73,40829.07,FREIGHT
INV-0IZJ5ED,C93089,2025-01-22,2360.92,188.87,2549.79,GROUND
INV-0J61GGE,C97125,2025-05-05,3169.04,0.0,3169.04,GROUND
INV-0J8DWNC,C97125,2025-01-24,3244.07,0.0,3244.07,GROUND
INV-0JFVY0L,C80551,2025-02-08,4120.58,329.65,4450.23,2DAY
INV-0JG67AP,C99892,2025-05-12,3663.1,183.16,3846.26,GROUND
INV-0JS0E1Y,C81739,2025-10-06,31122.42,1556.12,32678.54,FREIGHT
INV-0JUSV7J,C83948,2024-11-06,4859.35,485.94,5345.29,GROUND
INV-0JWN9QA,C83350,2025-04-24,15290.14,764.51,16054.65,EXPRESS
INV-0K05CZR,C86178,2025-07-24,2944.01,147.2,3091.21,GROUND
INV-0K0JU4C,C10456,2025-04-30,10466.52,523.33,10989.85,FREIGHT
INV-0K4U88C,C94736,2024-04-18,3373.3,0.0,3373.3,GROUND
INV-0K5NQJI,C56067,2025-12-27,3067.93,153.4,3221.33,GROUND
INV-0K6TGP6,C17172,2024-01-21,3766.87,376.69,4143.56,GROUND
INV-0KANVJS,C82971,2025-10-12,4030.28,322.42,4352.7,GROUND
INV-0KFH35I,C43677,2025-03-12,2811.45,224.92,3036.37,GROUND
INV-0KIP9X9,C73720,2025-02-15,3644.05,0.0,3644.05,GROUND
INV-0KOGE0H,C77577,2024-09-22,41048.09,4104.81,45152.9,FREIGHT
INV-0KQ2VIS,C77726,2025-08-03,2444.63,244.46,2689.09,2DAY
INV-0KRHI07,C33266,2025-03-13,7050.35,564.03,7614.38,2DAY
INV-0KX3D4L,C17172,2024-10-02,4888.18,0.0,4888.18,GROUND
INV-0KYEU82,C72495,2024-08-12,12813.81,1025.1,13838.91,EXPRESS
INV-0L08NQZ,C11386,2025-07-15,17743.74,1419.5,19163.24,EXPRESS
INV-0L50DAQ,C73720,2024-01-15,15923.92,1273.91,17197.83,EXPRESS
INV-0L68JBT,C16180,2025-02-15,14645.92,1171.67,15817.59,EXPRESS
INV-0LD4N7N,C15978,2024-01-25,6222.46,497.8,6720.26,2DAY
INV-0LH7SZD,C10456,2025-10-15,14562.92,1165.03,15727.95,FREIGHT
INV-0LJYXP4,C16180,2024-07-18,6199.01,309.95,6508.96,EXPRESS
INV-0LOPWTI,C15499,2024-02-13,19618.98,1961.9,21580.88,EXPRESS
INV-0LQC384,C10456,2024-06-27,5091.22,407.3,5498.52,EXPRESS
INV-0LS3AQY,C64279,2024-04-17,4317.77,345.42,4663.19,GROUND
INV-0LT6J52,C97785,2025-07-10,33834.67,0.0,33834.67,FREIGHT
INV-0LY0MOK,C29210,2024-07-04,2016.24,0.0,2016.24,2DAY
INV-0LZ7C9C,C56067,2024-02-14,5668.99,0.0,5668.99,EXPRESS
INV-0M57PTJ,C99808,2025-06-15,19995.03,1599.6,21594.63,EXPRESS
INV-0M6JAAE,C34523,2024-12-09,18812.64,1505.01,20317.65,FREIGHT
INV-0M7BM5L,C08929,2025-08-02,9918.35,991.84,10910.19,EXPRESS
INV-0MA8NYT,C33266,2025-11-17,16584.21,829.21,17413.42,EXPRESS
INV-0MCALW6,C63096,2025-08-17,12797.99,639.9,13437.89,EXPRESS
INV-0MDCGAX,C93089,2025-07-29,8695.06,869.51,9564.57,EXPRESS
INV-0MGOIGY,C28306,2024-12-06,32657.85,3265.78,35923.63,FREIGHT
INV-0MI7DEB,C64279,2024-01-26,3076.69,153.83,3230.52,GROUND
INV-0MSZ742,C81739,2024-07-06,10648.74,532.44,11181.18,FREIGHT
INV-0MYCR7S,C72495,2025-06-18,2215.99,177.28,2393.27,2DAY
INV-0N6H7U6,C25055,2024-07-26,5949.09,475.93,6425.02,2DAY
INV-0NA6SPQ,C77577,2025-09-14,1155.71,92.46,1248.17,GROUND
INV-0NI98L8,C20405,2025-07-21,1761.98,176.2,1938.18,GROUND
INV-0NJZUKO,C83948,2025-04-04,1931.14,154.49,2085.63,GROUND
INV-0NL467M,C16180,2024-09-22,1558.42,0.0,1558.42,GROUND
INV-0NMDRNF,C29210,2025-04-25,4446.12,222.31,4668.43,GROUND
INV-0NQ0RYN,C83948,2025-05-17,4312.18,0.0,4312.18,GROUND
INV-0O21CRK,C47375,2024-05-21,3313.07,265.05,3578.12,GROUND
INV-0O3XA2V,C72495,2025-02-23,17362.29,868.11,18230.4,EXPRESS
INV-0OBCA19,C78191,2025-02-13,3880.36,0.0,3880.36,GROUND
INV-0OBP7HP,C49018,2024-01-28,16373.07,1637.31,18010.38,FREIGHT
INV-0OQ05BL,C49018,2024-08-17,9022.41,451.12,9473.53,2DAY
INV-0OQ29SP,C63096,2025-02-19,19951.77,1596.14,21547.91,EXPRESS
INV-0OSF4XL,C51553,2025-04-26,18379.78,918.99,19298.77,EXPRESS
INV-0OXABL8,C22659,2025-03-03,1154.4,57.72,1212.12,GROUND
INV-0P17UA2,C78191,2024-10-01,35733.06,2858.64,38591.7,FREIGHT
INV-0P4LOAC,C34523,2025-01-29,19017.83,1521.43,20539.26,EXPRESS
INV-0PC8APG,C82971,2025-09-08,6891.41,344.57,7235.98,EXPRESS
INV-0PCLSTH,C70464,2025-10-01,8183.15,0.0,8183.15,2DAY
INV-0PL2M4S,C09581,2025-11-19,3787.72,189.39,3977.11,GROUND
INV-0PWE4GX,C47375,2025-12-26,15300.2,0.0,15300.2,EXPRESS
INV-0PX4XXM,C77577,2025-04-22,3326.39,332.64,3659.03,GROUND
INV-0PXZ80Z,C09581,2025-05-30,2899.93,231.99,3131.92,GROUND
INV-0Q03HJ2,C21531,2025-01-16,2492.06,249.21,2741.27,2DAY
INV-0QBJ5YO,C20405,2025-07-14,17298.11,1383.85,18681.96,EXPRESS
INV-0QD1GCJ,C99808,2024-12-22,24269.58,1941.57,26211.15,FREIGHT
INV-0QEYTKI,C24911,2025-10-23,10564.22,1056.42,11620.64,EXPRESS
INV-0QJ1WFR,C22659,2024-06-15,2128.11,106.41,2234.52,GROUND
INV-0QLE7WI,C63250,2025-02-27,2624.56,0.0,2624.56,GROUND
INV-0QNIJG4,C14637,2025-08-02,14742.64,1474.26,16216.9,FREIGHT
INV-0QRELXA,C43677,2024-02-08,1361.44,108.92,1470.36,GROUND
INV-0RCML84,C47375,2024-02-15,19085.82,954.29,20040.11,EXPRESS
INV-0RDZ32S,C28306,2024-08-06,9505.3,950.53,10455.83,2DAY
INV-0RFH300,C49018,2025-02-05,8301.03,664.08,8965.11,2DAY
INV-0RKCRU0,C11386,2024-04-24,18892.22,1889.22,20781.44,EXPRESS
INV-0RP5P8M,C17172,2024-02-09,1423.69,0.0,1423.69,GROUND
INV-0RPQO7L,C22659,2025-07-19,7202.2,360.11,7562.31,EXPRESS
INV-0RR4EFQ,C15978,2025-04-01,5207.64,520.76,5728.4,2DAY
INV-0RSDXCZ,C02145,2024-12-14,3027.9,151.4,3179.3,GROUND
INV-0S2P7SY,C28306,2025-01-17,5794.84,289.74,6084.58,2DAY
INV-0SFA78I,C98672,2025-11-10,16304.28,1304.34,17608.62,EXPRESS
INV-0SFBDNK,C24911,2024-10-16,1005.99,50.3,1056.29,GROUND
INV-0SKQ0I7,C14637,2025-03-03,4055.17,0.0,4055.17,GROUND
INV-0SLQ9C2,C78191,2025-09-28,46913.85,4691.39,51605.24,FREIGHT
INV-0SOTMT8,C81739,2024-12-16,23906.04,2390.6,26296.64,FREIGHT
INV-0SPB6YN,C33266,2024-03-18,4387.61,219.38,4606.99,GROUND
INV-0SWMRB9,C16655,2024-02-17,2345.63,0.0,2345.63,2DAY
INV-0T57QLK,C97125,2024-02-02,1153.87,115.39,1269.26,GROUND
INV-0T823LO,C80551,2025-06-02,13057.69,652.88,13710.57,EXPRESS
INV-0TBTGKB,C86178,2025-11-10,16890.08,1689.01,18579.09,EXPRESS
INV-0TP5UE1,C24911,2024-02-13,9596.23,767.7,10363.93,2DAY
INV-0TQLI5O,C14175,2024-03-24,3174.37,158.72,3333.09,GROUND
INV-0TS7DXZ,C56067,2024-07-05,2736.5,273.65,3010.15,GROUND
INV-0TVBUE2,C16180,2024-11-08,14904.32,1192.35,16096.67,EXPRESS
INV-0U0LRYH,C86029,2024-02-20,1741.14,139.29,1880.43,GROUND
INV-0U1O7WI,C77577,2025-01-16,1235.13,61.76,1296.89,GROUND
INV-0U1Q600,C47375,2024-02-14,17293.03,1729.3,19022.33,EXPRESS
INV-0UDE19I,C03366,2025-12-04,4608.91,460.89,5069.8,GROUND
INV-0ULIKZC,C86178,2024-10-28,16815.87,840.79,17656.66,EXPRESS
INV-0URLQQL,C77726,2025-12-29,1195.66,59.78,1255.44,GROUND
INV-0UTDHEO,C15499,2024-06-20,4365.2,436.52,4801.72,GROUND
INV-0UWBFJZ,C99892,2024-12-17,4629.82,0.0,4629.82,GROUND
INV-0V04BAE,C77726,2024-09-11,2538.13,0.0,2538.13,GROUND
INV-0V5B2GH,C43677,2025-01-02,2223.13,177.85,2400.98,2DAY
INV-0V7814K,C94736,2025-01-20,7489.27,748.93,8238.2,2DAY
INV-0V862L5,C43677,2024-12-14,2782.7,278.27,3060.97,GROUND
INV-0VBABGN,C17754,2024-04-25,2130.78,0.0,2130.78,GROUND
INV-0VCDYLW,C93089,2024-01-18,3490.67,0.0,3490.67,GROUND
INV-0VD3JH7,C93089,2025-07-15,1239.09,61.95,1301.04,GROUND
INV-0VKHLLS,C86029,2024-03-29,2315.55,0.0,2315.55,2DAY
INV-0VO887U,C35443,2024-09-02,4698.97,0.0,4698.97,GROUND
INV-0VPDAUV,C86178,2024-06-27,2882.09,230.57,3112.66,GROUND
INV-0VYMZ22,C51553,2024-01-14,40304.25,2015.21,42319.46,FREIGHT
INV-0W1Q9HI,C29210,2025-07-17,2685.6,134.28,2819.88,2DAY
INV-0WAK6EA,C17754,2024-01-05,14043.04,1123.44,15166.48,EXPRESS
INV-0WAWJP1,C29210,2024-06-14,4343.17,347.45,4690.62,GROUND
INV-0WEZDGG,C35443,2024-12-15,3033.77,0.0,3033.77,GROUND
INV-0WWOM5S,C78191,2025-04-07,7947.37,0.0,7947.37,EXPRESS
INV-0WXSZFG,C93089,2024-06-14,4307.5,215.38,4522.88,GROUND
INV-0X2QGQV,C80551,2025-09-16,18957.46,1895.75,20853.21,EXPRESS
INV-0XFZCAQ,C09581,2025-12-09,8226.83,658.15,8884.98,EXPRESS
INV-0XITWCF,C86029,2025-11-28,1829.74,91.49,1921.23,GROUND
INV-0XP8IT6,C29210,2025-05-08,2337.49,116.87,2454.36,GROUND
INV-0XPTRJ7,C99808,2025-07-22,12064.5,603.23,12667.73,EXPRESS
INV-0XW6E9N,C87356,2024-03-24,3374.17,337.42,3711.59,GROUND
INV-0Y0BTWS,C28306,2025-07-25,5108.99,408.72,5517.71,EXPRESS
INV-0Y1YTLG,C57382,2024-09-07,2943.71,147.19,3090.9,GROUND
INV-0Y23DV5,C51553,2025-09-16,4193.14,209.66,4402.8,GROUND
INV-0Y49HYG,C15978,2025-11-15,43634.42,2181.72,45816.14,FREIGHT
INV-0Y5K2II,C86029,2025-10-26,3067.93,153.4,3221.33,2DAY
INV-0Y6629B,C86178,2024-12-30,2803.82,0.0,2803.82,GROUND
INV-0YO4IP9,C33266,2025-10-02,2519.06,125.95,2645.01,GROUND
INV-0YPSUZ9,C83948,2025-07-19,17531.77,1753.18,19284.95,EXPRESS
INV-0YQQ969,C34523,2024-07-28,22989.87,0.0,22989.87,FREIGHT
INV-0Z00ZAB,C29210,2025-01-30,3172.58,253.81,3426.39,GROUND
INV-0Z2251P,C29210,2025-07-25,3588.46,179.42,3767.88,GROUND
INV-0Z86AXM,C03366,2024-01-21,3532.65,0.0,3532.65,GROUND
INV-0ZGX0JK,C87356,2025-02-18,3161.67,158.08,3319.75,2DAY
INV-0ZRUQ3X,C84879,2024-04-01,13075.51,653.78,13729.29,EXPRESS
INV-1042BZ1,C87356,2025-05-18,11441.45,915.32,12356.77,EXPRESS
INV-1080UHE,C98672,2025-08-15,12616.39,1009.31,13625.7,EXPRESS
INV-10DC3NO,C08929,2025-05-07,4489.89,0.0,4489.89,2DAY
INV-10K3FP9,C57382,2024-08-16,4108.2,0.0,4108.2,GROUND
INV-10M8VFO,C87356,2024-12-07,18770.68,0.0,18770.68,EXPRESS
INV-10N5G33,C97125,2025-12-12,1282.37,102.59,1384.96,GROUND
INV-10R26GT,C86178,2024-01-04,4103.67,410.37,4514.04,GROUND
INV-10SHB1K,C17754,2024-11-18,2530.62,126.53,2657.15,GROUND
INV-10TLOOU,C77577,2025-03-26,19533.09,1953.31,21486.4,EXPRESS
INV-10XG0VS,C84879,2025-07-25,9663.02,773.04,10436.06,2DAY
INV-10ZRA7X,C16180,2024-06-30,6363.83,509.11,6872.94,EXPRESS
INV-11169AH,C28306,2024-07-10,4336.18,346.89,4683.07,2DAY
INV-111J1W1,C08929,2024-07-23,1691.7,84.59,1776.29,GROUND
INV-1193B3Z,C08929,2025-05-25,29133.27,2913.33,32046.6,FREIGHT
INV-1198CK9,C97125,2025-01-11,10171.76,0.0,10171.76,EXPRESS
INV-119NW99,C56067,2024-03-21,2718.28,217.46,2935.74,GROUND
INV-11A71KN,C63096,2024-04-01,46780.14,3742.41,50522.55,FREIGHT
INV-11FS5ZV,C80551,2024-01-26,2141.75,0.0,2141.75,GROUND
INV-11HJ4NG,C35443,2024-02-13,8891.42,0.0,8891.42,EXPRESS
INV-11J2NVV,C03366,2024-07-31,7165.18,358.26,7523.44,EXPRESS
INV-11JE94Z,C93089,2025-05-04,18068.28,1806.83,19875.11,EXPRESS
INV-11N80Y9,C47375,2024-10-25,5465.4,0.0,5465.4,2DAY
INV-11OQ942,C35443,2025-12-25,4039.14,403.91,4443.05,GROUND
INV-11PZJST,C34523,2025-03-18,1653.93,132.31,1786.24,GROUND
INV-11SIV3D,C99892,2024-02-25,34286.22,0.0,34286.22,FREIGHT
INV-123XLVE,C56067,2024-12-31,4376.3,0.0,4376.3,GROUND
INV-128YM3G,C29210,2025-01-24,13379.15,1337.91,14717.06,FREIGHT
INV-12H594E,C80551,2025-07-01,3954.3,197.72,4152.02,GROUND
