client_id,client_name,invoice_id,start_date,total,shipment_type
C86029,Acme Industries,INV-0CHWXRH,2024-11-02,49801.63,FREIGHT
C33266,Hooli Enterprises,INV-0CIM22F,2025-02-17,5782.15,2DAY
C10456,Blue Partners,INV-0CNLSQK,2024-07-16,35356.57,FREIGHT
C22659,Tyrell Partners,INV-0COOB6Z,2025-02-25,4553.97,GROUND
C34523,Stark Enterprises,INV-0CRQDWM,2025-02-25,20490.95,EXPRESS
C97125,Blue Industries,INV-0CVADLG,2025-10-24,1645.5,GROUND
C49018,Green Freight,INV-0D1ED4F,2025-12-16,4239.35,GROUND
C10456,Blue Partners,INV-0D6PY2C,2025-12-06,3755.89,2DAY
C34523,Stark Enterprises,INV-0DE5HDA,2025-10-15,8612.38,2DAY
C47375,Vertex Partners,INV-0DI3LSN,2024-02-21,1749.72,GROUND
C99892,Wayne Freight,INV-0DI90QK,2025-10-04,14585.04,EXPRESS
C83948,Wayne Holdings,INV-0DOPRL4,2024-06-20,4685.34,GROUND
C14637,Hooli Supply,INV-0DTAWQ6,2025-06-17,3800.32,GROUND
C34523,Stark Enterprises,INV-0DU0EW3,2024-06-05,1689.41,GROUND
C97125,Blue Industries,INV-0E43FIJ,2024-09-18,4524.0,GROUND
C77577,Zenith Holdings,INV-0EA6OMU,2024-08-20,2435.88,GROUND
C10456,Blue Partners,INV-0EK5A0E,2024-04-15,10128.8,2DAY
C51553,Hooli Logistics,INV-0EQJEEE,2024-02-21,6369.98,2DAY
C09581,Wonka Supply,INV-0EXQTB4,2024-12-28,6540.94,2DAY
C29210,Massive Group,INV-0EYGSQ4,2025-09-01,4510.23,GROUND
C87356,Zenith Logistics,INV-0F0S13O,2025-10-21,10273.79,2DAY
C29210,Massive Group,INV-0F6I474,2025-10-08,16602.21,FREIGHT
C98672,Stark Freight,INV-0F863IZ,2024-01-12,4229.87,GROUND
C86178,Massive Co,INV-0FLHAP0,2024-05-18,14805.57,EXPRESS
C99808,Blue Co,INV-0FQPTBA,2024-06-08,11373.27,EXPRESS
C16180,Blue Enterprises,INV-0FRO8ST,2024-04-02,3235.91,GROUND
C14175,Wayne Group,INV-0FZPV7R,2025-03-10,24723.9,FREIGHT
C97785,Massive Supply,INV-0G06JSM,2024-11-02,4125.6,2DAY
C60889,Wonka Llc,INV-0G3YLJZ,2024-08-28,1862.95,GROUND
C14637,Hooli Supply,INV-0G5NHGO,2024-06-05,2653.85,GROUND
C47375,Vertex Partners,INV-0G9J6A1,2025-05-23,3153.39,2DAY
C43677,Apex Group,INV-0GDBUXT,2025-07-11,1908.98,GROUND
C99808,Blue Co,INV-0GIX98E,2024-07-30,14228.78,EXPRESS
C17754,Vector Co,INV-0GKDWUO,2025-03-19,30257.05,FREIGHT
C78191,Quantum Enterprises,INV-0GMKK7C,2025-03-11,16355.76,EXPRESS
C92842,Tyrell Industries,INV-0GMUEGL,2025-12-16,16736.2,FREIGHT
C57382,Vector Logistics,INV-0GPW5WF,2024-05-14,5170.39,GROUND
C78191,Quantum Enterprises,INV-0GQGOFH,2025-01-06,8163.8,EXPRESS
C91097,Tyrell Freight,INV-0GW84HM,2024-04-04,9633.87,EXPRESS
C77726,Nimbus Holdings,INV-0GXRNZO,2025-05-02,4545.95,GROUND
C20405,Initech Supply,INV-0GY7R64,2025-09-13,14365.0,EXPRESS
C14175,Wayne Group,INV-0GZXT1C,2024-05-01,4334.35,GROUND
C94736,Red Logistics,INV-0H1NU0K,2024-07-21,28819.55,FREIGHT
C29210,Massive Group,INV-0H2HSHS,2024-08-10,9775.69,2DAY
C09581,Wonka Supply,INV-0HBV1QK,2025-05-04,2342.24,GROUND
C78191,Quantum Enterprises,INV-0HFDTWW,2025-12-21,13151.67,EXPRESS
C99808,Blue Co,INV-0HHAVDI,2025-06-29,3916.8,GROUND
C91097,Tyrell Freight,INV-0HJPXK9,2025-07-31,20852.5,EXPRESS
C98399,Wayne Group,INV-0HO6L9D,2024-05-05,2206.12,GROUND
C80551,Vertex Partners,INV-0HOTJYB,2025-03-20,5662.71,2DAY
C84879,Umbrella Partners,INV-0HRBTI0,2025-10-24,2992.09,GROUND
C16180,Blue Enterprises,INV-0HZWF6L,2024-05-22,1817.38,GROUND
C08929,Nimbus Industries,INV-0I8Q4L4,2025-04-26,11446.23,EXPRESS
C57382,Vector Logistics,INV-0I9CB38,2024-04-16,51150.33,FREIGHT
C49018,Green Freight,INV-0IGINS0,2025-02-14,4211.77,GROUND
C83948,Wayne Holdings,INV-0IHG3HI,2024-05-14,1096.13,GROUND
C82971,Massive Co,INV-0IQI5FA,2024-08-14,7904.02,2DAY
C56067,Hooli Logistics,INV-0IUECJO,2025-02-02,7433.06,2DAY
C49018,Green Freight,INV-0IXAP6A,2025-09-17,40829.07,FREIGHT
C93089,Blue Supply,INV-0IZJ5ED,2025-01-22,2549.79,GROUND
C97125,Blue Industries,INV-0J61GGE,2025-05-05,3169.04,GROUND
C97125,Blue Industries,INV-0J8DWNC,2025-01-24,3244.07,GROUND
C80551,Vertex Partners,INV-0JFVY0L,2025-02-08,4450.23,2DAY
C99892,Wayne Freight,INV-0JG67AP,2025-05-12,3846.26,GROUND
C81739,Massive Partners,INV-0JS0E1Y,2025-10-06,32678.54,FREIGHT
C83948,Wayne Holdings,INV-0JUSV7J,2024-11-06,5345.29,GROUND
C83350,Stark Group,INV-0JWN9QA,2025-04-24,16054.65,EXPRESS
C86178,Massive Co,INV-0K05CZR,2025-07-24,3091.21,GROUND
C10456,Blue Partners,INV-0K0JU4C,2025-04-30,10989.85,FREIGHT
C94736,Red Logistics,INV-0K4U88C,2024-04-18,3373.3,GROUND
C56067,Hooli Logistics,INV-0K5NQJI,2025-12-27,3221.33,GROUND
C17172,Apex Freight,INV-0K6TGP6,2024-01-21,4143.56,GROUND
C82971,Massive Co,INV-0KANVJS,2025-10-12,4352.7,GROUND
C43677,Apex Group,INV-0KFH35I,2025-03-12,3036.37,GROUND
C73720,Massive Llc,INV-0KIP9X9,2025-02-15,3644.05,GROUND
C77577,Zenith Holdings,INV-0KOGE0H,2024-09-22,45152.9,FREIGHT
C77726,Nimbus Holdings,INV-0KQ2VIS,2025-08-03,2689.09,2DAY
C33266,Hooli Enterprises,INV-0KRHI07,2025-03-13,7614.38,2DAY
C17172,Apex Freight,INV-0KX3D4L,2024-10-02,4888.18,GROUND
C72495,Umbrella Enterprises,INV-0KYEU82,2024-08-12,13838.91,EXPRESS
C11386,Vector Llc,INV-0L08NQZ,2025-07-15,19163.24,EXPRESS
C73720,Massive Llc,INV-0L50DAQ,2024-01-15,17197.83,EXPRESS
C16180,Blue Enterprises,INV-0L68JBT,2025-02-15,15817.59,EXPRESS
C15978,Vector Freight,INV-0LD4N7N,2024-01-25,6720.26,2DAY
C10456,Blue Partners,INV-0LH7SZD,2025-10-15,15727.95,FREIGHT
C16180,Blue Enterprises,INV-0LJYXP4,2024-07-18,6508.96,EXPRESS
C15499,Zenith Holdings,INV-0LOPWTI,2024-02-13,21580.88,EXPRESS
C10456,Blue Partners,INV-0LQC384,2024-06-27,5498.52,EXPRESS
C64279,Green Logistics,INV-0LS3AQY,2024-04-17,4663.19,GROUND
C97785,Massive Supply,INV-0LT6J52,2025-07-10,33834.67,FREIGHT
C29210,Massive Group,INV-0LY0MOK,2024-07-04,2016.24,2DAY
C56067,Hooli Logistics,INV-0LZ7C9C,2024-02-14,5668.99,EXPRESS
C99808,Blue Co,INV-0M57PTJ,2025-06-15,21594.63,EXPRESS
C34523,Stark Enterprises,INV-0M6JAAE,2024-12-09,20317.65,FREIGHT
C08929,Nimbus Industries,INV-0M7BM5L,2025-08-02,10910.19,EXPRESS
C33266,Hooli Enterprises,INV-0MA8NYT,2025-11-17,17413.42,EXPRESS
C63096,Initech Freight,INV-0MCALW6,2025-08-17,13437.89,EXPRESS
C93089,Blue Supply,INV-0MDCGAX,2025-07-29,9564.57,EXPRESS
C28306,Tyrell Llc,INV-0MGOIGY,2024-12-06,35923.63,FREIGHT
C64279,Green Logistics,INV-0MI7DEB,2024-01-26,3230.52,GROUND
C81739,Massive Partners,INV-0MSZ742,2024-07-06,11181.18,FREIGHT
C72495,Umbrella Enterprises,INV-0MYCR7S,2025-06-18,2393.27,2DAY
C25055,Stark Partners,INV-0N6H7U6,2024-07-26,6425.02,2DAY
C77577,Zenith Holdings,INV-0NA6SPQ,2025-09-14,1248.17,GROUND
C20405,Initech Supply,INV-0NI98L8,2025-07-21,1938.18,GROUND
C83948,Wayne Holdings,INV-0NJZUKO,2025-04-04,2085.63,GROUND
C16180,Blue Enterprises,INV-0NL467M,2024-09-22,1558.42,GROUND
C29210,Massive Group,INV-0NMDRNF,2025-04-25,4668.43,GROUND
C83948,Wayne Holdings,INV-0NQ0RYN,2025-05-17,4312.18,GROUND
C47375,Vertex Partners,INV-0O21CRK,2024-05-21,3578.12,GROUND
C72495,Umbrella Enterprises,INV-0O3XA2V,2025-02-23,18230.4,EXPRESS
C78191,Quantum Enterprises,INV-0OBCA19,2025-02-13,3880.36,GROUND
C49018,Green Freight,INV-0OBP7HP,2024-01-28,18010.38,FREIGHT
C49018,Green Freight,INV-0OQ05BL,2024-08-17,9473.53,2DAY
C63096,Initech Freight,INV-0OQ29SP,2025-02-19,21547.91,EXPRESS
C51553,Hooli Logistics,INV-0OSF4XL,2025-04-26,19298.77,EXPRESS
C22659,Tyrell Partners,INV-0OXABL8,2025-03-03,1212.12,GROUND
C78191,Quantum Enterprises,INV-0P17UA2,2024-10-01,38591.7,FREIGHT
C34523,Stark Enterprises,INV-0P4LOAC,2025-01-29,20539.26,EXPRESS
C82971,Massive Co,INV-0PC8APG,2025-09-08,7235.98,EXPRESS
C70464,Hooli Supply,INV-0PCLSTH,2025-10-01,8183.15,2DAY
C09581,Wonka Supply,INV-0PL2M4S,2025-11-19,3977.11,GROUND
C47375,Vertex Partners,INV-0PWE4GX,2025-12-26,15300.2,EXPRESS
C77577,Zenith Holdings,INV-0PX4XXM,2025-04-22,3659.03,GROUND
C09581,Wonka Supply,INV-0PXZ80Z,2025-05-30,3131.92,GROUND
C21531,Green Llc,INV-0Q03HJ2,2025-01-16,2741.27,2DAY
C20405,Initech Supply,INV-0QBJ5YO,2025-07-14,18681.96,EXPRESS
C99808,Blue Co,INV-0QD1GCJ,2024-12-22,26211.15,FREIGHT
C24911,Quantum Freight,INV-0QEYTKI,2025-10-23,11620.64,EXPRESS
C22659,Tyrell Partners,INV-0QJ1WFR,2024-06-15,2234.52,GROUND
C63250,Vertex Supply,INV-0QLE7WI,2025-02-27,2624.56,GROUND
C14637,Hooli Supply,INV-0QNIJG4,2025-08-02,16216.9,FREIGHT
C43677,Apex Group,INV-0QRELXA,2024-02-08,1470.36,GROUND
C47375,Vertex Partners,INV-0RCML84,2024-02-15,20040.11,EXPRESS
C28306,Tyrell Llc,INV-0RDZ32S,2024-08-06,10455.83,2DAY
C49018,Green Freight,INV-0RFH300,2025-02-05,8965.11,2DAY
C11386,Vector Llc,INV-0RKCRU0,2024-04-24,20781.44,EXPRESS
C17172,Apex Freight,INV-0RP5P8M,2024-02-09,1423.69,GROUND
C22659,Tyrell Partners,INV-0RPQO7L,2025-07-19,7562.31,EXPRESS
C15978,Vector Freight,INV-0RR4EFQ,2025-04-01,5728.4,2DAY
C02145,Zenith Supply,INV-0RSDXCZ,2024-12-14,3179.3,GROUND
C28306,Tyrell Llc,INV-0S2P7SY,2025-01-17,6084.58,2DAY
C98672,Stark Freight,INV-0SFA78I,2025-11-10,17608.62,EXPRESS
C24911,Quantum Freight,INV-0SFBDNK,2024-10-16,1056.29,GROUND
C14637,Hooli Supply,INV-0SKQ0I7,2025-03-03,4055.17,GROUND
C78191,Quantum Enterprises,INV-0SLQ9C2,2025-09-28,51605.24,FREIGHT
C81739,Massive Partners,INV-0SOTMT8,2024-12-16,26296.64,FREIGHT
C33266,Hooli Enterprises,INV-0SPB6YN,2024-03-18,4606.99,GROUND
C16655,Hooli Co,INV-0SWMRB9,2024-02-17,2345.63,2DAY
C97125,Blue Industries,INV-0T57QLK,2024-02-02,1269.26,GROUND
C80551,Vertex Partners,INV-0T823LO,2025-06-02,13710.57,EXPRESS
C86178,Massive Co,INV-0TBTGKB,2025-11-10,18579.09,EXPRESS
C24911,Quantum Freight,INV-0TP5UE1,2024-02-13,10363.93,2DAY
C14175,Wayne Group,INV-0TQLI5O,2024-03-24,3333.09,GROUND
C56067,Hooli Logistics,INV-0TS7DXZ,2024-07-05,3010.15,GROUND
C16180,Blue Enterprises,INV-0TVBUE2,2024-11-08,16096.67,EXPRESS
C86029,Acme Industries,INV-0U0LRYH,2024-02-20,1880.43,GROUND
C77577,Zenith Holdings,INV-0U1O7WI,2025-01-16,1296.89,GROUND
C47375,Vertex Partners,INV-0U1Q600,2024-02-14,19022.33,EXPRESS
C03366,Umbrella Industries,INV-0UDE19I,2025-12-04,5069.8,GROUND
C86178,Massive Co,INV-0ULIKZC,2024-10-28,17656.66,EXPRESS
C77726,Nimbus Holdings,INV-0URLQQL,2025-12-29,1255.44,GROUND
C15499,Zenith Holdings,INV-0UTDHEO,2024-06-20,4801.72,GROUND
C99892,Wayne Freight,INV-0UWBFJZ,2024-12-17,4629.82,GROUND
C77726,Nimbus Holdings,INV-0V04BAE,2024-09-11,2538.13,GROUND
C43677,Apex Group,INV-0V5B2GH,2025-01-02,2400.98,2DAY
C94736,Red Logistics,INV-0V7814K,2025-01-20,8238.2,2DAY
C43677,Apex Group,INV-0V862L5,2024-12-14,3060.97,GROUND
C17754,Vector Co,INV-0VBABGN,2024-04-25,2130.78,GROUND
C93089,Blue Supply,INV-0VCDYLW,2024-01-18,3490.67,GROUND
C93089,Blue Supply,INV-0VD3JH7,2025-07-15,1301.04,GROUND
C86029,Acme Industries,INV-0VKHLLS,2024-03-29,2315.55,2DAY
C35443,Nimbus Group,INV-0VO887U,2024-09-02,4698.97,GROUND
C86178,Massive Co,INV-0VPDAUV,2024-06-27,3112.66,GROUND
C51553,Hooli Logistics,INV-0VYMZ22,2024-01-14,42319.46,FREIGHT
C29210,Massive Group,INV-0W1Q9HI,2025-07-17,2819.88,2DAY
C17754,Vector Co,INV-0WAK6EA,2024-01-05,15166.48,EXPRESS
C29210,Massive Group,INV-0WAWJP1,2024-06-14,4690.62,GROUND
C35443,Nimbus Group,INV-0WEZDGG,2024-12-15,3033.77,GROUND
C78191,Quantum Enterprises,INV-0WWOM5S,2025-04-07,7947.37,EXPRESS
C93089,Blue Supply,INV-0WXSZFG,2024-06-14,4522.88,GROUND
C80551,Vertex Partners,INV-0X2QGQV,2025-09-16,20853.21,EXPRESS
C09581,Wonka Supply,INV-0XFZCAQ,2025-12-09,8884.98,EXPRESS
C86029,Acme Industries,INV-0XITWCF,2025-11-28,1921.23,GROUND
C29210,Massive Group,INV-0XP8IT6,2025-05-08,2454.36,GROUND
C99808,Blue Co,INV-0XPTRJ7,2025-07-22,12667.73,EXPRESS
C87356,Zenith Logistics,INV-0XW6E9N,2024-03-24,3711.59,GROUND
C28306,Tyrell Llc,INV-0Y0BTWS,2025-07-25,5517.71,EXPRESS
C57382,Vector Logistics,INV-0Y1YTLG,2024-09-07,3090.9,GROUND
C51553,Hooli Logistics,INV-0Y23DV5,2025-09-16,4402.8,GROUND
C15978,Vector Freight,INV-0Y49HYG,2025-11-15,45816.14,FREIGHT
C86029,Acme Industries,INV-0Y5K2II,2025-10-26,3221.33,2DAY
C86178,Massive Co,INV-0Y6629B,2024-12-30,2803.82,GROUND
C33266,Hooli Enterprises,INV-0YO4IP9,2025-10-02,2645.01,GROUND
C83948,Wayne Holdings,INV-0YPSUZ9,2025-07-19,19284.95,EXPRESS
C34523,Stark Enterprises,INV-0YQQ969,2024-07-28,22989.87,FREIGHT
C29210,Massive Group,INV-0Z00ZAB,2025-01-30,3426.39,GROUND
C29210,Massive Group,INV-0Z2251P,2025-07-25,3767.88,GROUND
C03366,Umbrella Industries,INV-0Z86AXM,2024-01-21,3532.65,GROUND
C87356,Zenith Logistics,INV-0ZGX0JK,2025-02-18,3319.75,2DAY
C84879,Umbrella Partners,INV-0ZRUQ3X,2024-04-01,13729.29,EXPRESS
C87356,Zenith Logistics,INV-1042BZ1,2025-05-18,12356.77,EXPRESS
C98672,Stark Freight,INV-1080UHE,2025-08-15,13625.7,EXPRESS
C08929,Nimbus Industries,INV-10DC3NO,2025-05-07,4489.89,2DAY
C57382,Vector Logistics,INV-10K3FP9,2024-08-16,4108.2,GROUND
C87356,Zenith Logistics,INV-10M8VFO,2024-12-07,18770.68,EXPRESS
C97125,Blue Industries,INV-10N5G33,2025-12-12,1384.96,GROUND
C86178,Massive Co,INV-10R26GT,2024-01-04,4514.04,GROUND
C17754,Vector Co,INV-10SHB1K,2024-11-18,2657.15,GROUND
C77577,Zenith Holdings,INV-10TLOOU,2025-03-26,21486.4,EXPRESS
C84879,Umbrella Partners,INV-10XG0VS,2025-07-25,10436.06,2DAY
C16180,Blue Enterprises,INV-10ZRA7X,2024-06-30,6872.94,EXPRESS
C28306,Tyrell Llc,INV-11169AH,2024-07-10,4683.07,2DAY
C08929,Nimbus Industries,INV-111J1W1,2024-07-23,1776.29,GROUND
C08929,Nimbus Industries,INV-1193B3Z,2025-05-25,32046.6,FREIGHT
C97125,Blue Industries,INV-1198CK9,2025-01-11,10171.76,EXPRESS
C56067,Hooli Logistics,INV-119NW99,2024-03-21,2935.74,GROUND
C63096,Initech Freight,INV-11A71KN,2024-04-01,50522.55,FREIGHT
C80551,Vertex Partners,INV-11FS5ZV,2024-01-26,2141.75,GROUND
C35443,Nimbus Group,INV-11HJ4NG,2024-02-13,8891.42,EXPRESS
C03366,Umbrella Industries,INV-11J2NVV,2024-07-31,7523.44,EXPRESS
C93089,Blue Supply,INV-11JE94Z,2025-05-04,19875.11,EXPRESS
C47375,Vertex Partners,INV-11N80Y9,2024-10-25,5465.4,2DAY
C35443,Nimbus Group,INV-11OQ942,2025-12-25,4443.05,GROUND
C34523,Stark Enterprises,INV-11PZJST,2025-03-18,1786.24,GROUND
C99892,Wayne Freight,INV-11SIV3D,2024-02-25,34286.22,FREIGHT
C56067,Hooli Logistics,INV-123XLVE,2024-12-31,4376.3,GROUND
C29210,Massive Group,INV-128YM3G,2025-01-24,14717.06,FREIGHT
C80551,Vertex Partners,INV-12H594E,2025-07-01,4152.02,GROUND
C78191,Quantum Enterprises,INV-12HQWI7,2025-03-31,5114.8,GROUND
C78191,Quantum Enterprises,INV-12I0T2G,2025-12-20,3587.8,GROUND
C47375,Vertex Partners,INV-12KMPCJ,2025-06-18,4844.84,GROUND
C63096,Initech Freight,INV-12OYWRX,2024-07-03,12523.08,FREIGHT
C73720,Massive Llc,INV-12PL6GU,2024-07-15,35869.38,FREIGHT
C84879,Umbrella Partners,INV-12U89FR,2024-12-15,17295.81,EXPRESS
C94929,Green Co,INV-12ULN0K,2024-12-30,4478.28,GROUND
C86029,Acme Industries,INV-12XJ3B9,2024-08-10,25751.02,FREIGHT
C16655,Hooli Co,INV-135C9H5,2024-12-31,15339.54,EXPRESS
C77577,Zenith Holdings,INV-1362NJY,2025-02-13,5339.09,GROUND
C15499,Zenith Holdings,INV-13CAN8V,2025-03-01,19525.2,EXPRESS
C11386,Vector Llc,INV-13FKT7V,2025-05-05,1922.75,GROUND
C56067,Hooli Logistics,INV-13JWE1J,2024-01-06,7523.19,2DAY
