inv_no,customer_key,inv_dt,subtotal,tax,total,curr,ship_type
INV-K11QKGY,C47375,10/11/2024,8522.66,681.81,9204.47,USD,2DAY
INV-HNUA1JA,C14637,02/05/2024,1928.19,192.82,2121.01,USD,GROUND
INV-T3WJ8JZ,C16655,01/22/2025,2611.25,130.56,2741.81,USD,2DAY
INV-X86PYYR,C21531,03/26/2025,16995.52,0.0,16995.52,USD,EXPRESS
INV-5RCS8FE,C78191,10/25/2025,19399.63,0.0,19399.63,USD,EXPRESS
INV-B9GSDTX,C83350,01/31/2024,15702.11,785.11,16487.22,USD,EXPRESS
INV-MQC3K1Q,C43677,07/23/2024,7632.08,381.6,8013.68,USD,2DAY
INV-2ESXYZT,C47375,11/10/2025,7704.47,0.0,7704.47,USD,2DAY
INV-6NEH6AU,C20405,12/07/2024,1123.82,56.19,1180.01,USD,GROUND
INV-M6RPHGX,C08929,08/08/2024,5187.04,0.0,5187.04,USD,EXPRESS
INV-3CT0BUN,C56067,07/13/2025,4025.46,322.04,4347.5,USD,GROUND
INV-EVKSSOX,C51553,02/28/2024,2829.0,141.45,2970.45,USD,GROUND
INV-A0LNZHO,C83350,11/12/2024,2614.11,0.0,2614.11,USD,GROUND
INV-P5K2EHN,C73720,09/12/2024,9373.52,0.0,9373.52,USD,2DAY
INV-72KNU70,C94736,11/25/2024,1598.82,79.94,1678.76,USD,GROUND
INV-05BRSFZ,C57382,12/08/2024,7351.03,0.0,7351.03,USD,EXPRESS
INV-W1ENXKY,C98399,03/30/2024,44290.92,3543.27,47834.19,USD,FREIGHT
INV-BILRDVB,C11386,02/27/2024,3463.98,173.2,3637.18,USD,GROUND
INV-ALS2Z57,C14637,05/27/2024,7897.73,394.89,8292.62,USD,EXPRESS
INV-M1JFBC9,C97125,12/14/2025,7347.76,734.78,8082.54,USD,2DAY
INV-BFQRA1O,C15499,07/16/2024,19199.83,1535.99,20735.82,USD,EXPRESS
INV-2W29U72,C63250,01/30/2025,1498.54,74.93,1573.47,USD,GROUND
INV-ZASZ8ZI,C14637,04/16/2025,3645.07,0.0,3645.07,USD,GROUND
INV-Y8NVAEK,C16655,04/19/2025,1194.45,59.72,1254.17,USD,GROUND
INV-6WTJV9T,C64279,09/02/2024,19690.17,1575.21,21265.38,USD,EXPRESS
INV-FQNX9RW,C99892,05/28/2024,14454.35,1445.44,15899.79,USD,EXPRESS
INV-BEDYV6Y,C64279,06/26/2025,2784.63,222.77,3007.4,USD,GROUND
INV-R37PT5J,C98399,03/11/2024,3867.05,193.35,4060.4,USD,GROUND
INV-QXIH0IH,C16180,11/13/2024,3340.58,334.06,3674.64,USD,GROUND
INV-L3H62ED,C29210,04/09/2025,4311.02,431.1,4742.12,USD,2DAY
INV-M1KPRR7,C51553,01/16/2024,2809.75,0.0,2809.75,USD,GROUND
INV-JKTC94R,C78191,03/03/2024,18051.52,1805.15,19856.67,USD,FREIGHT
INV-49YBK1O,C93089,08/09/2025,3583.66,0.0,3583.66,USD,GROUND
INV-MHDHALG,C97785,08/21/2025,2729.13,272.91,3002.04,USD,GROUND
INV-BQHZYEG,C15499,06/29/2025,7484.56,748.46,8233.02,USD,EXPRESS
INV-XXUVA1Z,C84879,07/26/2024,1049.82,0.0,1049.82,USD,GROUND
INV-1BNFTP4,C60889,03/06/2025,3667.65,366.77,4034.42,USD,GROUND
INV-JG02PVM,C21531,09/02/2024,9507.86,950.79,10458.65,USD,2DAY
INV-W04NO5V,C83948,07/17/2025,14969.49,748.47,15717.96,USD,EXPRESS
INV-2C99UN4,C25055,02/03/2025,3500.36,175.02,3675.38,USD,GROUND
INV-S47V0EN,C14637,05/31/2025,4659.52,232.98,4892.5,USD,GROUND
INV-91OWC60,C17754,07/19/2025,2163.45,0.0,2163.45,USD,GROUND
INV-XRJ36S7,C16180,01/14/2025,2832.6,0.0,2832.6,USD,2DAY
INV-DYRO0RY,C94929,12/04/2025,6339.55,507.16,6846.71,USD,2DAY
INV-SHO31PJ,C34523,01/15/2024,23979.83,0.0,23979.83,USD,FREIGHT
INV-KAUU8SZ,C14175,04/14/2025,3085.88,308.59,3394.47,USD,GROUND
INV-UB2HWVF,C15499,06/07/2024,13936.63,1114.93,15051.56,USD,EXPRESS
INV-50YQP71,C25055,04/06/2025,2025.17,0.0,2025.17,USD,GROUND
INV-9EUUOGF,C77726,11/21/2024,3348.85,334.88,3683.73,USD,2DAY
INV-J3AVTK6,C60889,10/19/2025,6818.32,0.0,6818.32,USD,2DAY
INV-MS1SIYO,C94929,04/09/2025,3045.63,243.65,3289.28,USD,GROUND
INV-NRME5LP,C14175,03/28/2024,3509.9,175.5,3685.4,USD,GROUND
INV-GMNFLT8,C80551,12/15/2024,2078.95,103.95,2182.9,USD,GROUND
INV-7IF15O8,C72495,05/01/2024,2564.22,256.42,2820.64,USD,GROUND
INV-P7Z6JT9,C86029,02/11/2024,10521.33,526.07,11047.4,USD,EXPRESS
INV-O8TKDUU,C73720,02/09/2024,1760.3,88.02,1848.32,USD,GROUND
INV-2C3P0KS,C51553,10/02/2024,35922.73,2873.82,38796.55,USD,FREIGHT
INV-24O2RNF,C47375,08/20/2024,8025.34,642.03,8667.37,USD,2DAY
INV-C9OUFW6,C02145,04/16/2025,2352.13,0.0,2352.13,USD,GROUND
INV-SMA2YOW,C33266,04/16/2024,6707.84,536.63,7244.47,USD,2DAY
INV-GSIA8TC,C64279,03/30/2025,1908.62,95.43,2004.05,USD,GROUND
INV-GYF2XII,C51553,04/17/2025,3722.17,186.11,3908.28,USD,GROUND
INV-MEEZQJY,C21531,12/06/2024,16190.23,0.0,16190.23,USD,FREIGHT
INV-TJZ101C,C16180,07/01/2024,15330.26,766.51,16096.77,USD,EXPRESS
INV-E58OBLX,C09581,09/16/2025,6099.92,0.0,6099.92,USD,EXPRESS
INV-QG1RUQ8,C99892,01/26/2025,1933.53,96.68,2030.21,USD,GROUND
INV-SEY65WW,C97785,08/03/2024,1190.3,119.03,1309.33,USD,GROUND
INV-9CYB4XZ,C91097,03/05/2024,49682.91,4968.29,54651.2,USD,FREIGHT
INV-HPRBRJ9,C99892,08/04/2024,2474.52,123.73,2598.25,USD,GROUND
INV-3TERQ6H,C34523,10/25/2024,13331.13,666.56,13997.69,USD,EXPRESS
INV-3G17DDF,C21531,08/05/2024,12551.01,627.55,13178.56,USD,EXPRESS
INV-6FB1J3Y,C83350,08/10/2025,5728.53,286.43,6014.96,USD,EXPRESS
INV-698BWVS,C87356,12/24/2025,19313.82,965.69,20279.51,USD,EXPRESS
INV-Q11K0LL,C17754,09/26/2024,6659.18,532.73,7191.91,USD,EXPRESS
INV-EGCJ5YB,C60889,02/26/2024,2396.26,239.63,2635.89,USD,2DAY
INV-ZJ5Z34V,C94736,04/06/2025,1929.46,0.0,1929.46,USD,GROUND
INV-RT3PDMF,C80551,09/20/2024,3344.91,267.59,3612.5,USD,GROUND
INV-HE6EWB6,C34523,09/17/2025,4018.74,200.94,4219.68,USD,2DAY
INV-5PKGLBR,C63096,04/12/2025,2437.13,121.86,2558.99,USD,GROUND
INV-25I5TAO,C02145,10/25/2025,11039.09,883.13,11922.22,USD,FREIGHT
INV-Q7TAEG2,C35443,02/20/2024,2196.73,219.67,2416.4,USD,GROUND
INV-LMYF8XK,C16655,09/01/2025,3448.18,344.82,3793.0,USD,GROUND
INV-MBJ0XZO,C97785,01/16/2025,26678.95,0.0,26678.95,USD,FREIGHT
INV-3WZ2PFQ,C24911,01/06/2024,3793.78,303.5,4097.28,USD,2DAY
INV-54436IM,C29210,11/23/2024,2612.64,261.26,2873.9,USD,GROUND
INV-31B0XPD,C15978,07/25/2024,4384.52,0.0,4384.52,USD,GROUND
INV-7G5QHC8,C17754,10/14/2024,3299.12,164.96,3464.08,USD,GROUND
INV-WKUEJKT,C98672,11/28/2024,3747.88,187.39,3935.27,USD,GROUND
INV-RGCF1W4,C97785,07/08/2024,3916.38,391.64,4308.02,USD,GROUND
INV-ON9SJU9,C57382,01/19/2024,1771.45,141.72,1913.17,USD,GROUND
INV-UMHHZV3,C16180,12/16/2025,2155.61,0.0,2155.61,USD,GROUND
INV-0G9J6A1,C47375,05/23/2025,3003.23,150.16,3153.39,USD,2DAY
INV-J1YPG59,C29210,06/02/2025,11869.73,593.49,12463.22,USD,EXPRESS
INV-14AFF9S,C94736,07/02/2024,2800.97,0.0,2800.97,USD,GROUND
INV-DB25UVI,C09581,07/30/2024,17487.85,0.0,17487.85,USD,EXPRESS
INV-PGPEVCT,C77577,02/22/2025,29464.0,2946.4,32410.4,USD,FREIGHT
INV-KPDXD4A,C33266,08/25/2025,5720.31,572.03,6292.34,USD,EXPRESS
INV-XO2UMRN,C33266,09/28/2025,2688.35,215.07,2903.42,USD,GROUND
INV-CNS6KPG,C63096,02/14/2024,15628.17,781.41,16409.58,USD,EXPRESS
INV-3MRHRGX,C83350,12/03/2025,4798.35,383.87,5182.22,USD,GROUND
INV-34OV3AK,C84879,01/01/2025,4810.24,0.0,4810.24,USD,2DAY
INV-1NETHSD,C87356,01/06/2025,3650.11,365.01,4015.12,USD,GROUND
INV-RQ6E8W3,C63096,03/27/2025,29543.15,0.0,29543.15,USD,FREIGHT
INV-M4EKPD5,C93089,06/24/2025,2760.03,276.0,3036.03,USD,GROUND
INV-IQPEMW9,C17754,08/30/2025,4826.78,482.68,5309.46,USD,GROUND
INV-LWZJX8K,C94736,10/15/2025,17759.57,1420.77,19180.34,USD,EXPRESS
INV-RXCFZVY,C97125,07/02/2024,4175.0,334.0,4509.0,USD,2DAY
INV-Z13V9HQ,C57382,11/30/2024,3311.08,331.11,3642.19,USD,GROUND
INV-KYF79WT,C73720,04/25/2025,13770.84,1101.67,14872.51,USD,EXPRESS
INV-EOWED00,C87356,03/10/2024,3555.03,177.75,3732.78,USD,GROUND
INV-X9GX5T1,C72495,10/09/2025,2002.68,0.0,2002.68,USD,GROUND
INV-3R4QVTM,C33266,09/11/2025,8327.33,0.0,8327.33,USD,EXPRESS
INV-O1L67NH,C16180,06/21/2024,9315.14,0.0,9315.14,USD,EXPRESS
INV-B9M0GSH,C73720,01/31/2025,1547.67,0.0,1547.67,USD,GROUND
INV-F0S9FCN,C02145,01/23/2025,3304.36,330.44,3634.8,USD,GROUND
INV-X9V7ZZ6,C82971,04/07/2025,5086.75,0.0,5086.75,USD,2DAY
INV-L0UZY3S,C83948,10/30/2025,32048.99,1602.45,33651.44,USD,FREIGHT
INV-BVSCXTW,C84879,12/29/2025,8434.46,674.76,9109.22,USD,EXPRESS
INV-XW2N8WL,C86178,05/29/2024,3801.39,190.07,3991.46,USD,GROUND
INV-TZYNZV4,C91097,11/22/2025,7071.96,565.76,7637.72,USD,2DAY
INV-VL5OLZ1,C98399,10/09/2024,8683.19,434.16,9117.35,USD,EXPRESS
INV-BTWCLWV,C17172,04/11/2025,12341.48,1234.15,13575.63,USD,EXPRESS
INV-L0YK5IR,C17172,10/31/2024,4879.41,0.0,4879.41,USD,GROUND
INV-Z29TRHP,C21531,05/03/2024,11767.03,0.0,11767.03,USD,EXPRESS
INV-C1CUHBK,C70464,10/17/2025,2281.16,114.06,2395.22,USD,GROUND
INV-9BVOKFZ,C49018,04/27/2024,26192.78,1309.64,27502.42,USD,FREIGHT
INV-6UZCH4C,C97125,09/12/2024,2580.64,129.03,2709.67,USD,GROUND
INV-M02OACM,C14637,09/03/2024,2738.08,219.05,2957.13,USD,GROUND
INV-CLLEJ9K,C17754,10/12/2025,1259.23,0.0,1259.23,USD,GROUND
INV-QIPN0M9,C29210,02/20/2025,2340.36,0.0,2340.36,USD,GROUND
INV-H13IK0R,C47375,06/12/2024,26819.94,2681.99,29501.93,USD,FREIGHT
INV-5HBLD6Q,C87356,06/20/2025,13203.4,1320.34,14523.74,USD,FREIGHT
INV-BV60A27,C17172,07/21/2024,1290.17,103.21,1393.38,USD,GROUND
INV-0D1ED4F,C49018,12/16/2025,4239.35,0.0,4239.35,USD,GROUND
INV-GLRQGLE,C56067,02/16/2025,1278.39,0.0,1278.39,USD,GROUND
INV-GPM8W4U,C83948,02/19/2024,2071.02,0.0,2071.02,USD,GROUND
INV-LMOC5PJ,C77577,07/21/2025,2553.39,255.34,2808.73,USD,GROUND
INV-WJMW5UW,C09581,11/14/2025,16177.5,1294.2,17471.7,USD,FREIGHT
INV-5VWRO74,C43677,08/01/2025,1464.2,146.42,1610.62,USD,GROUND
INV-ISDHCG5,C98672,02/29/2024,1748.98,139.92,1888.9,USD,GROUND
INV-GSQOKJ8,C20405,04/14/2025,8662.5,693.0,9355.5,USD,EXPRESS
INV-SH1VU1K,C78191,08/27/2025,18178.48,908.92,19087.4,USD,EXPRESS
INV-1Q74SFX,C02145,01/08/2025,10839.72,541.99,11381.71,USD,EXPRESS
INV-OT27JU8,C33266,01/01/2024,1451.86,72.59,1524.45,USD,GROUND
INV-PZXOT8M,C11386,08/30/2024,2665.25,213.22,2878.47,USD,GROUND
INV-BWSSDMF,C29210,11/10/2025,1330.07,133.01,1463.08,USD,GROUND
INV-NHIQMF1,C34523,05/25/2024,4570.92,228.55,4799.47,USD,GROUND
INV-DDKW860,C70464,04/20/2025,10195.48,509.77,10705.25,USD,EXPRESS
INV-L4IUJU9,C57382,03/02/2025,3445.01,275.6,3720.61,USD,GROUND
INV-YA8BIIE,C78191,01/27/2025,2427.72,242.77,2670.49,USD,2DAY
INV-JFESILK,C51553,07/14/2024,16469.02,823.45,17292.47,USD,EXPRESS
INV-5VZVTJP,C20405,12/03/2024,1891.27,151.3,2042.57,USD,GROUND
INV-IO4S4AD,C77577,04/10/2025,3796.1,303.69,4099.79,USD,GROUND
INV-2EA9BJO,C87356,06/07/2025,2322.01,185.76,2507.77,USD,GROUND
INV-QRYDM3E,C25055,02/12/2025,4124.83,0.0,4124.83,USD,GROUND
INV-VZDJFJF,C97785,10/20/2024,1463.42,117.07,1580.49,USD,GROUND
INV-PX0X8DN,C93089,11/19/2024,1617.05,129.36,1746.41,USD,GROUND
INV-YTRAXRQ,C73720,07/27/2024,5196.18,259.81,5455.99,USD,2DAY
INV-1951STY,C03366,10/11/2025,15913.53,795.68,16709.21,USD,EXPRESS
INV-L5LE0AL,C63096,10/05/2024,11070.92,553.55,11624.47,USD,EXPRESS
INV-R4OFS0U,C29210,09/10/2025,15082.51,754.13,15836.64,USD,EXPRESS
INV-BMQ5PBB,C97785,05/05/2024,6532.54,0.0,6532.54,USD,2DAY
INV-QF7X85M,C81739,08/25/2025,4927.9,394.23,5322.13,USD,GROUND
INV-PFY1ZZ0,C98672,12/16/2025,6316.02,505.28,6821.3,USD,EXPRESS
INV-5R7G7IL,C63096,04/15/2025,15892.38,1271.39,17163.77,USD,EXPRESS
INV-THRBTVN,C49018,08/12/2025,2100.89,210.09,2310.98,USD,GROUND
INV-KTLMQPT,C92842,10/11/2025,4070.03,0.0,4070.03,USD,GROUND
INV-X8Z6313,C22659,07/19/2024,4560.83,228.04,4788.87,USD,GROUND
INV-OXA2D9P,C78191,04/02/2025,2306.97,230.7,2537.67,USD,GROUND
INV-6PESY4N,C91097,07/13/2024,2005.4,0.0,2005.4,USD,GROUND
INV-V3NRJMZ,C11386,10/03/2024,8581.95,858.2,9440.15,USD,EXPRESS
INV-ALDZRYG,C34523,11/26/2025,4126.52,0.0,4126.52,USD,GROUND
INV-KPH5M3A,C25055,10/03/2024,2392.88,119.64,2512.52,USD,GROUND
INV-KZ3AYR0,C35443,04/09/2025,2065.65,103.28,2168.93,USD,GROUND
INV-12KMPCJ,C47375,06/18/2025,4614.13,230.71,4844.84,USD,GROUND
INV-4PET915,C03366,04/30/2025,14059.89,0.0,14059.89,USD,EXPRESS
INV-XUJJ4R6,C86178,03/10/2024,4882.03,390.56,5272.59,USD,GROUND
INV-37120IH,C02145,12/29/2024,20504.04,0.0,20504.04,USD,FREIGHT
INV-4IJU5BW,C94929,01/02/2024,17972.53,0.0,17972.53,USD,EXPRESS
INV-YG8RQ7M,C72495,08/12/2024,2483.56,124.18,2607.74,USD,GROUND
INV-V4SJ3S7,C91097,02/10/2024,44389.59,2219.48,46609.07,USD,FREIGHT
INV-7WJHR55,C28306,08/09/2024,4121.01,412.1,4533.11,USD,GROUND
INV-ECTXI5R,C17172,01/16/2024,3941.85,197.09,4138.94,USD,GROUND
INV-L86TBDE,C09581,03/20/2024,2233.68,0.0,2233.68,USD,GROUND
INV-IJCPE0K,C91097,06/20/2024,4515.57,361.25,4876.82,USD,GROUND
INV-AUA5KID,C11386,10/02/2024,17182.74,859.14,18041.88,USD,EXPRESS
INV-NN311H0,C28306,07/22/2025,16989.52,1698.95,18688.47,USD,EXPRESS
INV-H92HHQ4,C08929,10/08/2025,3206.63,320.66,3527.29,USD,GROUND
INV-A5E2XSD,C22659,10/26/2024,28547.49,2854.75,31402.24,USD,FREIGHT
INV-QIIYILP,C14637,10/11/2024,4880.91,0.0,4880.91,USD,2DAY
INV-96AJJKF,C63250,09/16/2024,16914.88,1691.49,18606.37,USD,EXPRESS
INV-CQJEF59,C47375,02/25/2024,22988.53,1149.43,24137.96,USD,FREIGHT
INV-5IEB8WM,C15978,03/24/2025,8347.5,667.8,9015.3,USD,2DAY
INV-KX6AV0C,C10456,09/20/2024,2357.48,117.87,2475.35,USD,GROUND
INV-MY3K83U,C20405,06/23/2025,13995.5,699.78,14695.28,USD,EXPRESS
INV-FBOX4NZ,C60889,09/22/2024,3417.89,0.0,3417.89,USD,GROUND
INV-9DO8C47,C09581,05/28/2025,6968.38,557.47,7525.85,USD,2DAY
INV-Y5UICD2,C34523,10/30/2025,8880.34,888.03,9768.37,USD,EXPRESS
INV-JWU7W4Y,C17172,07/16/2024,4102.74,410.27,4513.01,USD,GROUND
INV-G8VKWW3,C84879,05/14/2025,8719.86,0.0,8719.86,USD,EXPRESS
INV-F0C06U9,C47375,09/09/2025,4517.21,225.86,4743.07,USD,GROUND
INV-S2KOX2T,C92842,07/25/2024,45809.53,2290.48,48100.01,USD,FREIGHT
INV-S9TDE0H,C14175,01/13/2025,2463.64,123.18,2586.82,USD,GROUND
INV-4U4MD1Z,C43677,08/07/2025,45570.97,3645.68,49216.65,USD,FREIGHT
INV-5MW95A1,C14175,02/03/2024,10491.79,0.0,10491.79,USD,EXPRESS
INV-O6NVN28,C80551,04/03/2025,18831.11,0.0,18831.11,USD,EXPRESS
INV-DH1I5T6,C28306,06/09/2024,6052.99,605.3,6658.29,USD,2DAY
INV-C2CJH7T,C35443,05/28/2024,5938.91,0.0,5938.91,USD,EXPRESS
INV-NWQ1B1J,C93089,06/12/2025,8369.44,669.56,9039.0,USD,EXPRESS
INV-NP1CRNX,C92842,10/08/2024,3715.71,297.26,4012.97,USD,GROUND
INV-O42FDYO,C91097,07/05/2025,3876.19,310.1,4186.29,USD,GROUND
INV-Q48ND59,C82971,07/15/2024,3503.33,0.0,3503.33,USD,GROUND
INV-Z53IHB0,C56067,08/04/2025,4239.31,339.14,4578.45,USD,GROUND
INV-H5X8JLG,C87356,03/28/2025,9288.7,928.87,10217.57,USD,EXPRESS
INV-AQQGVUQ,C11386,02/03/2024,1112.92,0.0,1112.92,USD,GROUND
INV-OSBAF43,C25055,11/03/2024,3349.3,267.94,3617.24,USD,2DAY
INV-NKINTP3,C64279,01/09/2025,1088.33,108.83,1197.16,USD,GROUND
INV-UL6J963,C16655,03/17/2024,4019.08,401.91,4420.99,USD,GROUND
INV-U488PS0,C81739,03/30/2025,6570.16,657.02,7227.18,USD,EXPRESS
INV-JR710XR,C56067,07/25/2025,24420.15,2442.02,26862.17,USD,FREIGHT
INV-O7HNC4R,C28306,07/25/2024,2623.33,0.0,2623.33,USD,GROUND
INV-2Z780JN,C94736,11/21/2025,3066.77,245.34,3312.11,USD,GROUND
INV-O6ZA2IH,C60889,09/27/2024,3171.66,158.58,3330.24,USD,GROUND
INV-EO4LPSQ,C10456,05/26/2025,10523.22,1052.32,11575.54,USD,EXPRESS
INV-Q3C54P7,C94736,04/07/2025,1096.67,109.67,1206.34,USD,GROUND
INV-11HJ4NG,C35443,02/13/2024,8891.42,0.0,8891.42,USD,EXPRESS
INV-C89S9SK,C81739,11/03/2024,9438.01,471.9,9909.91,USD,EXPRESS
INV-OISG4VA,C98399,05/08/2024,16252.69,1300.22,17552.91,USD,FREIGHT
INV-LYCL66N,C64279,08/09/2025,2939.61,235.17,3174.78,USD,GROUND
INV-OS9L59R,C14637,03/29/2024,8535.93,426.8,8962.73,USD,2DAY
INV-UOB85HC,C86029,10/26/2024,4936.59,493.66,5430.25,USD,2DAY
INV-QA7V50S,C11386,01/24/2024,1361.56,108.92,1470.48,USD,GROUND
INV-HQWXWNW,C03366,08/19/2024,2290.41,114.52,2404.93,USD,GROUND
INV-NNCL092,C33266,10/09/2024,1177.99,117.8,1295.79,USD,GROUND
INV-T2EA4QK,C91097,08/07/2024,5346.79,534.68,5881.47,USD,EXPRESS
INV-HILN9JD,C73720,01/14/2025,4144.49,331.56,4476.05,USD,GROUND
INV-NX5PJO1,C51553,02/27/2024,2045.69,204.57,2250.26,USD,GROUND
INV-K9SC1YI,C92842,12/28/2025,3315.66,331.57,3647.23,USD,GROUND
INV-LNGA3CR,C99892,11/02/2024,28858.3,1442.91,30301.21,USD,FREIGHT
INV-KK0EBNA,C15978,12/20/2025,2364.85,0.0,2364.85,USD,GROUND
INV-FRRFOCK,C34523,05/02/2024,2953.84,295.38,3249.22,USD,GROUND
INV-WCGD3M0,C91097,03/16/2025,5535.08,553.51,6088.59,USD,2DAY
INV-PFGCO64,C25055,12/30/2025,49237.65,0.0,49237.65,USD,FREIGHT
INV-TCNMTP1,C83948,02/17/2024,7736.07,386.8,8122.87,USD,EXPRESS
INV-ZQQH0T7,C98672,05/20/2024,4504.05,225.2,4729.25,USD,GROUND
INV-7LUNJ90,C35443,07/20/2025,7138.98,356.95,7495.93,USD,2DAY
INV-XBN37S8,C63250,07/09/2024,2736.31,136.82,2873.13,USD,GROUND
INV-K2K0DXN,C80551,01/07/2024,3825.59,0.0,3825.59,USD,2DAY
INV-JE6SRW5,C15499,01/22/2025,20651.78,1032.59,21684.37,USD,FREIGHT
INV-UOXBQEZ,C29210,08/20/2025,41537.31,4153.73,45691.04,USD,FREIGHT
INV-NUODKC2,C73720,02/02/2025,3269.95,261.6,3531.55,USD,GROUND
INV-G5MIZ1H,C84879,07/17/2024,1344.19,67.21,1411.4,USD,GROUND
INV-I5YS1OE,C77726,06/21/2024,4438.76,355.1,4793.86,USD,GROUND
INV-IGIB1IS,C15499,08/21/2024,20603.42,1648.27,22251.69,USD,FREIGHT
INV-V4KFZAJ,C77577,11/10/2025,3414.62,0.0,3414.62,USD,2DAY
INV-8ZC818P,C15499,10/13/2025,4629.18,0.0,4629.18,USD,GROUND
INV-T315M6N,C97785,09/05/2025,9029.42,0.0,9029.42,USD,EXPRESS
INV-LXHT9QV,C87356,03/28/2025,10141.0,811.28,10952.28,USD,EXPRESS
INV-T6XR9J1,C99808,10/17/2024,1052.19,105.22,1157.41,USD,GROUND
INV-UWQW15O,C47375,11/07/2024,6300.19,315.01,6615.2,USD,2DAY
INV-U28R8P7,C98399,06/27/2024,2482.84,198.63,2681.47,USD,GROUND
INV-EJNXFVP,C14175,01/13/2025,4593.82,0.0,4593.82,USD,GROUND
INV-Z76WD1O,C99808,08/10/2025,15267.84,0.0,15267.84,USD,EXPRESS
INV-UD1KJXN,C94929,10/06/2025,4183.78,0.0,4183.78,USD,2DAY
INV-9FWO26E,C43677,08/31/2024,15057.34,0.0,15057.34,USD,EXPRESS
INV-G49TVKV,C21531,10/08/2025,5574.47,278.72,5853.19,USD,EXPRESS
INV-YOMH2XG,C21531,01/09/2024,2369.52,236.95,2606.47,USD,GROUND
INV-68TY54M,C51553,06/14/2024,25948.88,2594.89,28543.77,USD,FREIGHT
INV-718XO08,C10456,04/25/2025,1888.59,151.09,2039.68,USD,GROUND
