invoice_id,client_id,invoice_date,amount,currency,shipment_type
INV-M6RPHGX,C08929,08/08/2024,5187.04,USD,EXPRESS
INV-3CT0BUN,C56067,"Jul 13, 2025",4025.46,USD,GROUND
INV-EVKSSOX,C51553,2024-02-28,2829.0,USD,GROUND
INV-A0LNZHO,C83350,11/12/2024,2614.11,USD,GROUND
INV-P5K2EHN,C73720,"Sep 12, 2024",9373.52,USD,2DAY
INV-72KNU70,C94736,2024-11-25,1598.82,USD,GROUND
INV-05BRSFZ,C57382,12/08/2024,7351.03,USD,EXPRESS
INV-W1ENXKY,C98399,03/30/2024,44290.92,USD,FREIGHT
INV-BILRDVB,C11386,"Feb 27, 2024",3463.98,USD,GROUND
INV-ALS2Z57,C14637,2024/05/27,7897.73,USD,EXPRESS
INV-M1JFBC9,C97125,12/14/2025,7347.76,USD,2DAY
INV-BFQRA1O,C15499,"Jul 16, 2024",19199.83,USD,EXPRESS
INV-2W29U72,C63250,2025-01-30,1498.54,USD,GROUND
INV-ZASZ8ZI,C14637,16-Apr-2025,3645.07,USD,GROUND
INV-Y8NVAEK,C16655,2025-04-19,1194.45,USD,GROUND
INV-6WTJV9T,C64279,2024-09-02,19690.17,USD,EXPRESS
INV-FQNX9RW,C99892,2024/05/28,14454.35,USD,EXPRESS
INV-BEDYV6Y,C64279,2025-06-26,2784.63,USD,GROUND
INV-R37PT5J,C98399,2024/03/11,3867.05,USD,GROUND
INV-QXIH0IH,C16180,"Nov 13, 2024",3340.58,USD,GROUND
INV-L3H62ED,C29210,2025-04-09,4311.02,USD,2DAY
INV-M1KPRR7,C51553,16-Jan-2024,2809.75,USD,GROUND
INV-JKTC94R,C78191,"Mar 03, 2024",18051.52,USD,FREIGHT
INV-49YBK1O,C93089,08/09/2025,3583.66,USD,GROUND
INV-MHDHALG,C97785,08/21/2025,2729.13,USD,GROUND
INV-BQHZYEG,C15499,29-Jun-2025,7484.56,USD,EXPRESS
INV-XXUVA1Z,C84879,2024/07/26,1049.82,USD,GROUND
INV-1BNFTP4,C60889,2025/03/06,3667.65,USD,GROUND
INV-JG02PVM,C21531,"Sep 02, 2024",9507.86,USD,2DAY
INV-W04NO5V,C83948,2025/07/17,14969.49,USD,EXPRESS
INV-2C99UN4,C25055,02/03/2025,3500.36,USD,GROUND
INV-S47V0EN,C14637,2025/05/31,4659.52,USD,GROUND
INV-91OWC60,C17754,"Jul 19, 2025",2163.45,USD,GROUND
INV-XRJ36S7,C16180,2025-01-14,2832.6,USD,2DAY
INV-DYRO0RY,C94929,12/04/2025,6339.55,USD,2DAY
INV-SHO31PJ,C34523,2024-01-15,23979.83,USD,FREIGHT
INV-KAUU8SZ,C14175,2025/04/14,3085.88,USD,GROUND
INV-UB2HWVF,C15499,06/07/2024,13936.63,USD,EXPRESS
INV-50YQP71,C25055,04/06/2025,2025.17,USD,GROUND
INV-9EUUOGF,C77726,2024/11/21,3348.85,USD,2DAY
INV-J3AVTK6,C60889,"Oct 19, 2025",6818.32,USD,2DAY
INV-MS1SIYO,C94929,2025-04-09,3045.63,USD,GROUND
INV-NRME5LP,C14175,28-Mar-2024,3509.9,USD,GROUND
INV-GMNFLT8,C80551,15-Dec-2024,2078.95,USD,GROUND
INV-7IF15O8,C72495,05/01/2024,2564.22,USD,GROUND
INV-P7Z6JT9,C86029,11-Feb-2024,10521.33,USD,EXPRESS
INV-O8TKDUU,C73720,2024/02/09,1760.3,USD,GROUND
INV-2C3P0KS,C51553,10/02/2024,35922.73,USD,FREIGHT
INV-24O2RNF,C47375,08/20/2024,8025.34,USD,2DAY
INV-C9OUFW6,C02145,"Apr 16, 2025",2352.13,USD,GROUND
INV-SMA2YOW,C33266,16-Apr-2024,6707.84,USD,2DAY
INV-GSIA8TC,C64279,"Mar 30, 2025",1908.62,USD,GROUND
INV-GYF2XII,C51553,04/17/2025,3722.17,USD,GROUND
INV-MEEZQJY,C21531,2024/12/06,16190.23,USD,FREIGHT
INV-TJZ101C,C16180,07/01/2024,15330.26,USD,EXPRESS
INV-E58OBLX,C09581,09/16/2025,6099.92,USD,EXPRESS
INV-QG1RUQ8,C99892,"Jan 26, 2025",1933.53,USD,GROUND
INV-SEY65WW,C97785,2024/08/03,1190.3,USD,GROUND
INV-9CYB4XZ,C91097,03/05/2024,49682.91,USD,FREIGHT
INV-HPRBRJ9,C99892,2024/08/04,2474.52,USD,GROUND
INV-3TERQ6H,C34523,2024/10/25,13331.13,USD,EXPRESS
INV-3G17DDF,C21531,2024-08-05,12551.01,USD,EXPRESS
INV-6FB1J3Y,C83350,2025/08/10,5728.53,USD,EXPRESS
INV-698BWVS,C87356,2025/12/24,19313.82,USD,EXPRESS
INV-Q11K0LL,C17754,"Sep 26, 2024",6659.18,USD,EXPRESS
INV-EGCJ5YB,C60889,02/26/2024,2396.26,USD,2DAY
INV-ZJ5Z34V,C94736,04/06/2025,1929.46,USD,GROUND
INV-RT3PDMF,C80551,20-Sep-2024,3344.91,USD,GROUND
INV-HE6EWB6,C34523,2025/09/17,4018.74,USD,2DAY
INV-5PKGLBR,C63096,12-Apr-2025,2437.13,USD,GROUND
INV-25I5TAO,C02145,10/25/2025,11039.09,USD,FREIGHT
INV-Q7TAEG2,C35443,02/20/2024,2196.73,USD,GROUND
INV-LMYF8XK,C16655,01-Sep-2025,3448.18,USD,GROUND
INV-MBJ0XZO,C97785,"Jan 16, 2025",26678.95,USD,FREIGHT
INV-3WZ2PFQ,C24911,2024-01-06,3793.78,USD,2DAY
INV-54436IM,C29210,11/23/2024,2612.64,USD,GROUND
INV-31B0XPD,C15978,"Jul 25, 2024",4384.52,USD,GROUND
INV-7G5QHC8,C17754,10/14/2024,3299.12,USD,GROUND
INV-WKUEJKT,C98672,"Nov 28, 2024",3747.88,USD,GROUND
INV-RGCF1W4,C97785,08-Jul-2024,3916.38,USD,GROUND
INV-ON9SJU9,C57382,19-Jan-2024,1771.45,USD,GROUND
INV-UMHHZV3,C16180,2025-12-16,2155.61,USD,GROUND
INV-0G9J6A1,C47375,05/23/2025,3003.23,USD,2DAY
INV-J1YPG59,C29210,06/02/2025,11869.73,USD,EXPRESS
INV-14AFF9S,C94736,2024/07/02,2800.97,USD,GROUND
INV-DB25UVI,C09581,30-Jul-2024,17487.85,USD,EXPRESS
INV-PGPEVCT,C77577,2025-02-22,29464.0,USD,FREIGHT
INV-KPDXD4A,C33266,"Aug 25, 2025",5720.31,USD,EXPRESS
INV-XO2UMRN,C33266,2025/09/28,2688.35,USD,GROUND
INV-CNS6KPG,C63096,14-Feb-2024,15628.17,USD,EXPRESS
INV-3MRHRGX,C83350,2025-12-03,4798.35,USD,GROUND
INV-34OV3AK,C84879,01-Jan-2025,4810.24,USD,2DAY
INV-1NETHSD,C87356,01/06/2025,3650.11,USD,GROUND
INV-RQ6E8W3,C63096,27-Mar-2025,29543.15,USD,FREIGHT
INV-M4EKPD5,C93089,"Jun 24, 2025",2760.03,USD,GROUND
INV-IQPEMW9,C17754,08/30/2025,4826.78,USD,GROUND
INV-LWZJX8K,C94736,2025/10/15,17759.57,USD,EXPRESS
INV-RXCFZVY,C97125,07/02/2024,4175.0,USD,2DAY
INV-Z13V9HQ,C57382,"Nov 30, 2024",3311.08,USD,GROUND
INV-KYF79WT,C73720,2025/04/25,13770.84,USD,EXPRESS
INV-EOWED00,C87356,2024-03-10,3555.03,USD,GROUND
INV-X9GX5T1,C72495,"Oct 09, 2025",2002.68,USD,GROUND
INV-3R4QVTM,C33266,09/11/2025,8327.33,USD,EXPRESS
INV-O1L67NH,C16180,21-Jun-2024,9315.14,USD,EXPRESS
INV-B9M0GSH,C73720,01/31/2025,1547.67,USD,GROUND
INV-F0S9FCN,C02145,2025/01/23,3304.36,USD,GROUND
INV-X9V7ZZ6,C82971,07-Apr-2025,5086.75,USD,2DAY
INV-L0UZY3S,C83948,2025/10/30,32048.99,USD,FREIGHT
INV-BVSCXTW,C84879,12/29/2025,8434.46,USD,EXPRESS
INV-XW2N8WL,C86178,29-May-2024,3801.39,USD,GROUND
INV-TZYNZV4,C91097,"Nov 22, 2025",7071.96,USD,2DAY
INV-VL5OLZ1,C98399,"Oct 09, 2024",8683.19,USD,EXPRESS
INV-BTWCLWV,C17172,"Apr 11, 2025",12341.48,USD,EXPRESS
INV-L0YK5IR,C17172,2024/10/31,4879.41,USD,GROUND
INV-Z29TRHP,C21531,2024-05-03,11767.03,USD,EXPRESS
INV-C1CUHBK,C70464,10/17/2025,2281.16,USD,GROUND
INV-9BVOKFZ,C49018,2024/04/27,26192.78,USD,FREIGHT
INV-6UZCH4C,C97125,2024-09-12,2580.64,USD,GROUND
INV-M02OACM,C14637,09/03/2024,2738.08,USD,GROUND
INV-CLLEJ9K,C17754,2025/10/12,1259.23,USD,GROUND
INV-QIPN0M9,C29210,"Feb 20, 2025",2340.36,USD,GROUND
INV-H13IK0R,C47375,12-Jun-2024,26819.94,USD,FREIGHT
INV-5HBLD6Q,C87356,06/20/2025,13203.4,USD,FREIGHT
INV-BV60A27,C17172,2024-07-21,1290.17,USD,GROUND
INV-0D1ED4F,C49018,"Dec 16, 2025",4239.35,USD,GROUND
INV-GLRQGLE,C56067,"Feb 16, 2025",1278.39,USD,GROUND
INV-GPM8W4U,C83948,2024/02/19,2071.02,USD,GROUND
INV-LMOC5PJ,C77577,"Jul 21, 2025",2553.39,USD,GROUND
INV-WJMW5UW,C09581,"Nov 14, 2025",16177.5,USD,FREIGHT
INV-5VWRO74,C43677,08/01/2025,1464.2,USD,GROUND
INV-ISDHCG5,C98672,2024-02-29,1748.98,USD,GROUND
INV-GSQOKJ8,C20405,14-Apr-2025,8662.5,USD,EXPRESS
INV-SH1VU1K,C78191,2025-08-27,18178.48,USD,EXPRESS
INV-1Q74SFX,C02145,01/08/2025,10839.72,USD,EXPRESS
INV-OT27JU8,C33266,01/01/2024,1451.86,USD,GROUND
INV-PZXOT8M,C11386,2024-08-30,2665.25,USD,GROUND
INV-BWSSDMF,C29210,2025-11-10,1330.07,USD,GROUND
INV-NHIQMF1,C34523,25-May-2024,4570.92,USD,GROUND
INV-DDKW860,C70464,2025-04-20,10195.48,USD,EXPRESS
INV-L4IUJU9,C57382,03/02/2025,3445.01,USD,GROUND
INV-YA8BIIE,C78191,27-Jan-2025,2427.72,USD,2DAY
INV-JFESILK,C51553,14-Jul-2024,16469.02,USD,EXPRESS
INV-5VZVTJP,C20405,2024/12/03,1891.27,USD,GROUND
INV-IO4S4AD,C77577,2025/04/10,3796.1,USD,GROUND
INV-2EA9BJO,C87356,06/07/2025,2322.01,USD,GROUND
INV-QRYDM3E,C25055,02/12/2025,4124.83,USD,GROUND
INV-VZDJFJF,C97785,20-Oct-2024,1463.42,USD,GROUND
INV-PX0X8DN,C93089,2024/11/19,1617.05,USD,GROUND
INV-YTRAXRQ,C73720,"Jul 27, 2024",5196.18,USD,2DAY
INV-1951STY,C03366,2025-10-11,15913.53,USD,EXPRESS
INV-L5LE0AL,C63096,05-Oct-2024,11070.92,USD,EXPRESS
INV-R4OFS0U,C29210,09/10/2025,15082.51,USD,EXPRESS
INV-BMQ5PBB,C97785,"May 05, 2024",6532.54,USD,2DAY
INV-QF7X85M,C81739,08/25/2025,4927.9,USD,GROUND
INV-PFY1ZZ0,C98672,16-Dec-2025,6316.02,USD,EXPRESS
INV-5R7G7IL,C63096,04/15/2025,15892.38,USD,EXPRESS
INV-THRBTVN,C49018,08/12/2025,2100.89,USD,GROUND
INV-KTLMQPT,C92842,10/11/2025,4070.03,USD,GROUND
INV-X8Z6313,C22659,19-Jul-2024,4560.83,USD,GROUND
INV-OXA2D9P,C78191,2025-04-02,2306.97,USD,GROUND
INV-6PESY4N,C91097,2024-07-13,2005.4,USD,GROUND
INV-V3NRJMZ,C11386,"Oct 03, 2024",8581.95,USD,EXPRESS
INV-ALDZRYG,C34523,2025/11/26,4126.52,USD,GROUND
INV-KPH5M3A,C25055,2024/10/03,2392.88,USD,GROUND
INV-KZ3AYR0,C35443,"Apr 09, 2025",2065.65,USD,GROUND
INV-12KMPCJ,C47375,2025-06-18,4614.13,USD,GROUND
INV-4PET915,C03366,2025/04/30,14059.89,USD,EXPRESS
INV-XUJJ4R6,C86178,2024-03-10,4882.03,USD,GROUND
INV-37120IH,C02145,2024-12-29,20504.04,USD,FREIGHT
INV-4IJU5BW,C94929,2024-01-02,17972.53,USD,EXPRESS
INV-YG8RQ7M,C72495,2024/08/12,2483.56,USD,GROUND
INV-V4SJ3S7,C91097,2024/02/10,44389.59,USD,FREIGHT
INV-7WJHR55,C28306,2024/08/09,4121.01,USD,GROUND
INV-ECTXI5R,C17172,"Jan 16, 2024",3941.85,USD,GROUND
INV-L86TBDE,C09581,20-Mar-2024,2233.68,USD,GROUND
INV-IJCPE0K,C91097,2024-06-20,4515.57,USD,GROUND
INV-AUA5KID,C11386,02-Oct-2024,17182.74,USD,EXPRESS
INV-NN311H0,C28306,2025-07-22,16989.52,USD,EXPRESS
INV-H92HHQ4,C08929,"Oct 08, 2025",3206.63,USD,GROUND
INV-A5E2XSD,C22659,26-Oct-2024,28547.49,USD,FREIGHT
INV-QIIYILP,C14637,2024/10/11,4880.91,USD,2DAY
INV-96AJJKF,C63250,16-Sep-2024,16914.88,USD,EXPRESS
INV-CQJEF59,C47375,2024-02-25,22988.53,USD,FREIGHT
INV-5IEB8WM,C15978,"Mar 24, 2025",8347.5,USD,2DAY
INV-KX6AV0C,C10456,2024/09/20,2357.48,USD,GROUND
INV-MY3K83U,C20405,2025-06-23,13995.5,USD,EXPRESS
INV-FBOX4NZ,C60889,09/22/2024,3417.89,USD,GROUND
INV-9DO8C47,C09581,2025/05/28,6968.38,USD,2DAY
INV-Y5UICD2,C34523,2025-10-30,8880.34,USD,EXPRESS
INV-JWU7W4Y,C17172,"Jul 16, 2024",4102.74,USD,GROUND
INV-G8VKWW3,C84879,05/14/2025,8719.86,USD,EXPRESS
INV-F0C06U9,C47375,2025/09/09,4517.21,USD,GROUND
INV-S2KOX2T,C92842,"Jul 25, 2024",45809.53,USD,FREIGHT
INV-S9TDE0H,C14175,01/13/2025,2463.64,USD,GROUND
INV-4U4MD1Z,C43677,08/07/2025,45570.97,USD,FREIGHT
INV-5MW95A1,C14175,2024/02/03,10491.79,USD,EXPRESS
INV-O6NVN28,C80551,2025-04-03,18831.11,USD,EXPRESS
INV-DH1I5T6,C28306,09-Jun-2024,6052.99,USD,2DAY
INV-C2CJH7T,C35443,28-May-2024,5938.91,USD,EXPRESS
INV-NWQ1B1J,C93089,2025-06-12,8369.44,USD,EXPRESS
INV-NP1CRNX,C92842,10/08/2024,3715.71,USD,GROUND
INV-O42FDYO,C91097,05-Jul-2025,3876.19,USD,GROUND
INV-Q48ND59,C82971,"Jul 15, 2024",3503.33,USD,GROUND
INV-Z53IHB0,C56067,08/04/2025,4239.31,USD,GROUND
INV-H5X8JLG,C87356,"Mar 28, 2025",9288.7,USD,EXPRESS
INV-AQQGVUQ,C11386,02/03/2024,1112.92,USD,GROUND
INV-OSBAF43,C25055,03-Nov-2024,3349.3,USD,2DAY
INV-NKINTP3,C64279,01/09/2025,1088.33,USD,GROUND
INV-UL6J963,C16655,17-Mar-2024,4019.08,USD,GROUND
INV-U488PS0,C81739,03/30/2025,6570.16,USD,EXPRESS
INV-JR710XR,C56067,07/25/2025,24420.15,USD,FREIGHT
INV-O7HNC4R,C28306,25-Jul-2024,2623.33,USD,GROUND
INV-2Z780JN,C94736,"Nov 21, 2025",3066.77,USD,GROUND
INV-O6ZA2IH,C60889,2024-09-27,3171.66,USD,GROUND
INV-EO4LPSQ,C10456,2025-05-26,10523.22,USD,EXPRESS
INV-Q3C54P7,C94736,"Apr 07, 2025",1096.67,USD,GROUND
INV-11HJ4NG,C35443,2024/02/13,8891.42,USD,EXPRESS
INV-C89S9SK,C81739,11/03/2024,9438.01,USD,EXPRESS
INV-OISG4VA,C98399,"May 08, 2024",16252.69,USD,FREIGHT
INV-LYCL66N,C64279,08/09/2025,2939.61,USD,GROUND
INV-OS9L59R,C14637,03/29/2024,8535.93,USD,2DAY
INV-UOB85HC,C86029,2024-10-26,4936.59,USD,2DAY
INV-QA7V50S,C11386,24-Jan-2024,1361.56,USD,GROUND
INV-HQWXWNW,C03366,2024/08/19,2290.41,USD,GROUND
INV-NNCL092,C33266,10/09/2024,1177.99,USD,GROUND
INV-T2EA4QK,C91097,"Aug 07, 2024",5346.79,USD,EXPRESS
INV-HILN9JD,C73720,01/14/2025,4144.49,USD,GROUND
INV-NX5PJO1,C51553,27-Feb-2024,2045.69,USD,GROUND
INV-K9SC1YI,C92842,28-Dec-2025,3315.66,USD,GROUND
INV-LNGA3CR,C99892,2024/11/02,28858.3,USD,FREIGHT
INV-KK0EBNA,C15978,"Dec 20, 2025",2364.85,USD,GROUND
INV-FRRFOCK,C34523,"May 02, 2024",2953.84,USD,GROUND
INV-WCGD3M0,C91097,03/16/2025,5535.08,USD,2DAY
INV-PFGCO64,C25055,2025-12-30,49237.65,USD,FREIGHT
INV-TCNMTP1,C83948,"Feb 17, 2024",7736.07,USD,EXPRESS
INV-ZQQH0T7,C98672,"May 20, 2024",4504.05,USD,GROUND
INV-7LUNJ90,C35443,20-Jul-2025,7138.98,USD,2DAY
INV-XBN37S8,C63250,"Jul 09, 2024",2736.31,USD,GROUND
INV-K2K0DXN,C80551,2024/01/07,3825.59,USD,2DAY
INV-JE6SRW5,C15499,"Jan 22, 2025",20651.78,USD,FREIGHT
INV-UOXBQEZ,C29210,2025/08/20,41537.31,USD,FREIGHT
INV-NUODKC2,C73720,2025-02-02,3269.95,USD,GROUND
INV-G5MIZ1H,C84879,2024-07-17,1344.19,USD,GROUND
INV-I5YS1OE,C77726,2024-06-21,4438.76,USD,GROUND
INV-IGIB1IS,C15499,2024/08/21,20603.42,USD,FREIGHT
INV-V4KFZAJ,C77577,10-Nov-2025,3414.62,USD,2DAY
INV-8ZC818P,C15499,"Oct 13, 2025",4629.18,USD,GROUND
INV-T315M6N,C97785,"Sep 05, 2025",9029.42,USD,EXPRESS
INV-LXHT9QV,C87356,03/28/2025,10141.0,USD,EXPRESS
INV-T6XR9J1,C99808,17-Oct-2024,1052.19,USD,GROUND
INV-UWQW15O,C47375,07-Nov-2024,6300.19,USD,2DAY
INV-U28R8P7,C98399,2024-06-27,2482.84,USD,GROUND
INV-EJNXFVP,C14175,"Jan 13, 2025",4593.82,USD,GROUND
INV-Z76WD1O,C99808,2025/08/10,15267.84,USD,EXPRESS
INV-UD1KJXN,C94929,10/06/2025,4183.78,USD,2DAY
INV-9FWO26E,C43677,08/31/2024,15057.34,USD,EXPRESS
INV-G49TVKV,C21531,"Oct 08, 2025",5574.47,USD,EXPRESS
INV-YOMH2XG,C21531,2024/01/09,2369.52,USD,GROUND
INV-68TY54M,C51553,2024-06-14,25948.88,USD,FREIGHT
INV-718XO08,C10456,2025/04/25,1888.59,USD,GROUND
INV-9IS35VG,C16655,03/01/2025,4891.63,USD,GROUND
INV-ER27090,C87356,2024/06/16,11213.25,USD,EXPRESS
INV-0P4LOAC,C34523,29-Jan-2025,19017.83,USD,EXPRESS
INV-YBRRQUL,C09581,"Feb 13, 2024",9225.53,USD,2DAY
INV-A85OK2Z,C93089,"Jul 21, 2025",1154.91,USD,GROUND
INV-UYBHYGA,C14175,"Apr 03, 2024",1738.26,USD,GROUND
INV-2MAX09K,C51553,2025/11/22,42047.89,USD,FREIGHT
INV-6OW5TBA,C16180,23-Jun-2025,17793.5,USD,EXPRESS
INV-IAF1WP7,C73720,2024-10-06,13647.28,USD,EXPRESS
INV-CF9Q5GN,C02145,24-Aug-2025,4667.45,USD,GROUND
INV-1WOE7UR,C21531,"Oct 02, 2024",5615.18,USD,2DAY
INV-DFDRCA5,C73720,07-Oct-2025,1151.42,USD,GROUND
INV-5T3F8H4,C78191,2025/11/14,32997.97,USD,FREIGHT
INV-EU0D6SO,C22659,2024/07/01,3527.15,USD,GROUND
INV-VBLJQH4,C56067,2025-10-25,6795.12,USD,EXPRESS
INV-VSIZCXG,C93089,"Aug 03, 2025",12510.67,USD,EXPRESS
INV-QL55BIS,C97785,03/08/2024,4878.4,USD,GROUND
INV-PPS6KGI,C17172,"Mar 10, 2024",4007.57,USD,GROUND
INV-Q33L987,C16655,"Jul 12, 2024",1532.92,USD,GROUND
INV-2RFVFRA,C63250,2025/06/18,24468.88,USD,FREIGHT
INV-MWWO808,C77726,02/09/2024,8967.82,USD,2DAY
INV-ZWDAVK2,C72495,2025/03/08,4906.11,USD,GROUND
INV-36YVUV0,C11386,07/09/2024,7602.41,USD,EXPRESS
INV-TEJBOFD,C87356,2025/10/27,1858.39,USD,GROUND
INV-BSJ6S9M,C33266,2025-05-09,3085.65,USD,2DAY
INV-NU045UA,C28306,2025-12-01,4191.32,USD,GROUND
INV-EC9RXIK,C77577,15-Jul-2025,5683.52,USD,2DAY
INV-ZSB6GKI,C14175,2024/01/01,16698.89,USD,EXPRESS
INV-6K3LFIE,C91097,2025/10/05,2581.08,USD,GROUND
INV-EOOQR9H,C83948,2024/12/30,11568.64,USD,FREIGHT
INV-NF7Q3K3,C92842,"Dec 11, 2024",10046.8,USD,FREIGHT
INV-A1VJ0XU,C47375,2025-01-13,7421.81,USD,2DAY
INV-1AR0MSU,C82971,12-May-2024,1219.9,USD,GROUND
INV-5PC52W1,C99892,2024/01/05,1530.71,USD,GROUND
INV-7A8BQNG,C20405,2025-07-15,4565.31,USD,GROUND
INV-I7C8TC9,C22659,"Oct 25, 2025",3438.71,USD,GROUND
INV-DSWJQZ6,C29210,2025-07-26,12778.98,USD,FREIGHT
INV-C1R5X86,C72495,11/29/2024,16781.87,USD,EXPRESS
INV-NZQC6LA,C03366,07/15/2024,2474.79,USD,GROUND
INV-K3CMEN5,C94929,2024/03/05,1792.31,USD,GROUND
INV-PUJH5EN,C87356,2025-02-01,4494.77,USD,2DAY
INV-OD7UBCM,C03366,2024/12/02,28715.74,USD,FREIGHT
INV-PVLHCIN,C70464,"Nov 15, 2025",19330.51,USD,EXPRESS
INV-9B5MLYS,C33266,2024/06/13,2712.3,USD,GROUND
INV-42T41FE,C83350,20-May-2024,6927.71,USD,2DAY
INV-LW5GYCD,C24911,2025-03-19,1813.19,USD,GROUND
INV-YH6TC8E,C16180,2024-08-08,1770.49,USD,GROUND
INV-XJS3DRJ,C94736,2025-03-29,1630.1,USD,GROUND
INV-2NE4GW7,C99808,15-Feb-2024,9876.38,USD,2DAY
INV-FFAPXNN,C33266,2025-01-09,4422.48,USD,GROUND
INV-2L60FE4,C98399,"Feb 23, 2025",2259.7,USD,GROUND
INV-ACAIZR5,C94929,2025/01/04,2821.95,USD,GROUND
INV-Z6I3RYZ,C78191,21-Oct-2024,2561.08,USD,GROUND
INV-XWFI4HQ,C28306,"Jun 20, 2025",3601.69,USD,GROUND
INV-4O5E59P,C28306,2024/08/02,1026.67,USD,GROUND
INV-NO5GY90,C80551,2025/09/02,2999.7,USD,GROUND
INV-6518BHK,C03366,25-Sep-2024,8305.01,USD,EXPRESS
INV-TVEMBKL,C11386,07-Mar-2025,3265.74,USD,GROUND
INV-8DT11OA,C11386,2024-07-08,49653.91,USD,FREIGHT
INV-MVAAOQH,C97785,2025-11-27,49473.65,USD,FREIGHT
INV-7M70M9G,C35443,2025/12/05,3970.67,USD,GROUND
INV-MLD9GH3,C43677,2025-04-17,3052.6,USD,GROUND
INV-C9E9OFP,C94929,27-Jun-2025,4139.96,USD,2DAY
INV-E7YLJH9,C93089,06-Jun-2025,4766.04,USD,2DAY
INV-OVVQ7PU,C10456,2024/10/31,5378.45,USD,2DAY
INV-WC43P4D,C20405,02/14/2025,14572.09,USD,EXPRESS
INV-AQGFRTL,C70464,03/05/2025,18800.62,USD,EXPRESS
INV-1A37KRU,C84879,2024-05-03,4507.47,USD,GROUND
INV-5LG0DCN,C84879,07/06/2024,41179.34,USD,FREIGHT
