invoice_uid,client_ref,issued_on,amount_usd,shipment_category
INV-91OWC60,VECTOR CO,2025/07/19,2163.45,GROUND
INV-XRJ36S7,BLUE ENTERPRISES,2025/01/14,2832.6,2DAY
INV-DYRO0RY,GREEN CO,2025/12/04,6846.71,2DAY
INV-SHO31PJ,STARK ENTERPRISES,"Jan 15, 2024",23979.83,FREIGHT
INV-KAUU8SZ,WAYNE GROUP,2025-04-14,3394.47,GROUND
INV-UB2HWVF,ZENITH HOLDINGS,06/07/2024,15051.56,EXPRESS
INV-50YQP71,STARK PARTNERS,2025-04-06,2025.17,GROUND
INV-9EUUOGF,NIMBUS HOLDINGS,21-Nov-2024,3683.73,2DAY
INV-J3AVTK6,WONKA LLC,10/19/2025,6818.32,2DAY
INV-MS1SIYO,GREEN CO,"Apr 09, 2025",3289.28,GROUND
INV-NRME5LP,WAYNE GROUP,2024/03/28,3685.4,GROUND
INV-GMNFLT8,VERTEX PARTNERS,12/15/2024,2182.9,GROUND
INV-7IF15O8,UMBRELLA ENTERPRISES,05/01/2024,2820.64,GROUND
INV-P7Z6JT9,ACME INDUSTRIES,2024/02/11,11047.4,EXPRESS
INV-O8TKDUU, MASSIVE LLC ,2024/02/09,1848.32,GROUND
INV-2C3P0KS,HOOLI LOGISTICS,"Oct 02, 2024",38796.55,FREIGHT
INV-24O2RNF,VERTEX PARTNERS,"Aug 20, 2024",8667.37,2DAY
INV-C9OUFW6,ZENITH SUPPLY,16-Apr-2025,2352.13,GROUND
INV-SMA2YOW,HOOLI ENTERPRISES,04/16/2024,7244.47,2DAY
INV-GSIA8TC,GREEN LOGISTICS,"Mar 30, 2025",2004.05,GROUND
INV-GYF2XII,HOOLI LOGISTICS,"Apr 17, 2025",3908.28,GROUND
INV-MEEZQJY,GREEN LLC,2024-12-06,16190.23,FREIGHT
INV-TJZ101C,BLUE ENTERPRISES,"Jul 01, 2024",16096.77,EXPRESS
INV-E58OBLX,WONKA SUPPLY,2025/09/16,6099.92,EXPRESS
INV-QG1RUQ8, WAYNE FREIGHT ,26-Jan-2025,2030.21,GROUND
INV-SEY65WW,MASSIVE SUPPLY,2024-08-03,1309.33,GROUND
INV-9CYB4XZ,TYRELL FREIGHT,05-Mar-2024,54651.2,FREIGHT
INV-HPRBRJ9, WAYNE FREIGHT ,2024-08-04,2598.25,GROUND
INV-3TERQ6H,STARK ENTERPRISES,2024/10/25,13997.69,EXPRESS
INV-3G17DDF,GREEN LLC,"Aug 05, 2024",13178.56,EXPRESS
INV-6FB1J3Y,STARK GROUP,2025/08/10,6014.96,EXPRESS
INV-698BWVS,ZENITH LOGISTICS,"Dec 24, 2025",20279.51,EXPRESS
INV-Q11K0LL,VECTOR CO,26-Sep-2024,7191.91,EXPRESS
INV-EGCJ5YB,WONKA LLC,26-Feb-2024,2635.89,2DAY
INV-ZJ5Z34V, RED LOGISTICS ,2025-04-06,1929.46,GROUND
INV-RT3PDMF,VERTEX PARTNERS,20-Sep-2024,3612.5,GROUND
INV-HE6EWB6,STARK ENTERPRISES,17-Sep-2025,4219.68,2DAY
INV-5PKGLBR, INITECH FREIGHT ,12-Apr-2025,2558.99,GROUND
INV-25I5TAO,ZENITH SUPPLY,2025/10/25,11922.22,FREIGHT
INV-Q7TAEG2,NIMBUS GROUP,02/20/2024,2416.4,GROUND
INV-LMYF8XK,HOOLI CO,01-Sep-2025,3793.0,GROUND
INV-MBJ0XZO,MASSIVE SUPPLY,2025/01/16,26678.95,FREIGHT
INV-3WZ2PFQ,QUANTUM FREIGHT,"Jan 06, 2024",4097.28,2DAY
INV-54436IM,MASSIVE GROUP,2024/11/23,2873.9,GROUND
INV-31B0XPD,VECTOR FREIGHT,2024-07-25,4384.52,GROUND
INV-7G5QHC8,VECTOR CO,14-Oct-2024,3464.08,GROUND
INV-WKUEJKT,STARK FREIGHT,2024/11/28,3935.27,GROUND
INV-RGCF1W4,MASSIVE SUPPLY,07/08/2024,4308.02,GROUND
INV-ON9SJU9,VECTOR LOGISTICS,19-Jan-2024,1913.17,GROUND
INV-UMHHZV3,BLUE ENTERPRISES,12/16/2025,2155.61,GROUND
INV-0G9J6A1,VERTEX PARTNERS,"May 23, 2025",3153.39,2DAY
INV-J1YPG59,MASSIVE GROUP,"Jun 02, 2025",12463.22,EXPRESS
INV-14AFF9S, RED LOGISTICS ,07/02/2024,2800.97,GROUND
INV-DB25UVI,WONKA SUPPLY,2024/07/30,17487.85,EXPRESS
INV-PGPEVCT,ZENITH HOLDINGS,02/22/2025,32410.4,FREIGHT
INV-KPDXD4A,HOOLI ENTERPRISES,2025/08/25,6292.34,EXPRESS
INV-XO2UMRN,HOOLI ENTERPRISES,09/28/2025,2903.42,GROUND
INV-CNS6KPG, INITECH FREIGHT ,"Feb 14, 2024",16409.58,EXPRESS
INV-3MRHRGX,STARK GROUP,2025/12/03,5182.22,GROUND
INV-34OV3AK, UMBRELLA PARTNERS ,2025/01/01,4810.24,2DAY
INV-1NETHSD,ZENITH LOGISTICS,06-Jan-2025,4015.12,GROUND
INV-RQ6E8W3, INITECH FREIGHT ,2025-03-27,29543.15,FREIGHT
INV-M4EKPD5, BLUE SUPPLY ,24-Jun-2025,3036.03,GROUND
INV-IQPEMW9,VECTOR CO,2025-08-30,5309.46,GROUND
INV-LWZJX8K, RED LOGISTICS ,"Oct 15, 2025",19180.34,EXPRESS
INV-RXCFZVY,BLUE INDUSTRIES,07/02/2024,4509.0,2DAY
INV-Z13V9HQ,VECTOR LOGISTICS,2024-11-30,3642.19,GROUND
INV-KYF79WT, MASSIVE LLC ,04/25/2025,14872.51,EXPRESS
INV-EOWED00,ZENITH LOGISTICS,10-Mar-2024,3732.78,GROUND
INV-X9GX5T1,UMBRELLA ENTERPRISES,10/09/2025,2002.68,GROUND
INV-3R4QVTM,HOOLI ENTERPRISES,2025/09/11,8327.33,EXPRESS
INV-O1L67NH,BLUE ENTERPRISES,06/21/2024,9315.14,EXPRESS
INV-B9M0GSH, MASSIVE LLC ,31-Jan-2025,1547.67,GROUND
INV-F0S9FCN,ZENITH SUPPLY,2025-01-23,3634.8,GROUND
INV-X9V7ZZ6,MASSIVE CO,07-Apr-2025,5086.75,2DAY
INV-L0UZY3S,WAYNE HOLDINGS,"Oct 30, 2025",33651.44,FREIGHT
INV-BVSCXTW, UMBRELLA PARTNERS ,2025-12-29,9109.22,EXPRESS
INV-XW2N8WL,MASSIVE CO,2024/05/29,3991.46,GROUND
INV-TZYNZV4,TYRELL FREIGHT,22-Nov-2025,7637.72,2DAY
INV-VL5OLZ1,WAYNE GROUP,"Oct 09, 2024",9117.35,EXPRESS
INV-BTWCLWV,APEX FREIGHT,"Apr 11, 2025",13575.63,EXPRESS
INV-L0YK5IR,APEX FREIGHT,10/31/2024,4879.41,GROUND
INV-Z29TRHP,GREEN LLC,05/03/2024,11767.03,EXPRESS
INV-C1CUHBK,HOOLI SUPPLY,2025/10/17,2395.22,GROUND
INV-9BVOKFZ,GREEN FREIGHT,27-Apr-2024,27502.42,FREIGHT
INV-6UZCH4C,BLUE INDUSTRIES,12-Sep-2024,2709.67,GROUND
INV-M02OACM,HOOLI SUPPLY,2024/09/03,2957.13,GROUND
INV-CLLEJ9K,VECTOR CO,"Oct 12, 2025",1259.23,GROUND
INV-QIPN0M9,MASSIVE GROUP,2025/02/20,2340.36,GROUND
INV-H13IK0R,VERTEX PARTNERS,2024-06-12,29501.93,FREIGHT
INV-5HBLD6Q,ZENITH LOGISTICS,2025-06-20,14523.74,FREIGHT
INV-BV60A27,APEX FREIGHT,2024/07/21,1393.38,GROUND
INV-0D1ED4F,GREEN FREIGHT,"Dec 16, 2025",4239.35,GROUND
INV-GLRQGLE,HOOLI LOGISTICS,2025-02-16,1278.39,GROUND
INV-GPM8W4U,WAYNE HOLDINGS,19-Feb-2024,2071.02,GROUND
INV-LMOC5PJ,ZENITH HOLDINGS,2025-07-21,2808.73,GROUND
INV-WJMW5UW,WONKA SUPPLY,14-Nov-2025,17471.7,FREIGHT
INV-5VWRO74,APEX GROUP,2025-08-01,1610.62,GROUND
INV-ISDHCG5,STARK FREIGHT,"Feb 29, 2024",1888.9,GROUND
INV-GSQOKJ8,INITECH SUPPLY,2025-04-14,9355.5,EXPRESS
INV-SH1VU1K,QUANTUM ENTERPRISES,"Aug 27, 2025",19087.4,EXPRESS
INV-1Q74SFX,ZENITH SUPPLY,2025/01/08,11381.71,EXPRESS
INV-OT27JU8,HOOLI ENTERPRISES,"Jan 01, 2024",1524.45,GROUND
INV-PZXOT8M,VECTOR LLC,08/30/2024,2878.47,GROUND
INV-BWSSDMF,MASSIVE GROUP,"Nov 10, 2025",1463.08,GROUND
INV-NHIQMF1,STARK ENTERPRISES,2024-05-25,4799.47,GROUND
INV-DDKW860,HOOLI SUPPLY,2025-04-20,10705.25,EXPRESS
INV-L4IUJU9,VECTOR LOGISTICS,2025/03/02,3720.61,GROUND
INV-YA8BIIE,QUANTUM ENTERPRISES,2025/01/27,2670.49,2DAY
INV-JFESILK,HOOLI LOGISTICS,2024-07-14,17292.47,EXPRESS
INV-5VZVTJP,INITECH SUPPLY,2024-12-03,2042.57,GROUND
INV-IO4S4AD,ZENITH HOLDINGS,04/10/2025,4099.79,GROUND
INV-2EA9BJO,ZENITH LOGISTICS,06/07/2025,2507.77,GROUND
INV-QRYDM3E,STARK PARTNERS,12-Feb-2025,4124.83,GROUND
INV-VZDJFJF,MASSIVE SUPPLY,20-Oct-2024,1580.49,GROUND
INV-PX0X8DN, BLUE SUPPLY ,2024-11-19,1746.41,GROUND
INV-YTRAXRQ, MASSIVE LLC ,2024/07/27,5455.99,2DAY
INV-1951STY,UMBRELLA INDUSTRIES,11-Oct-2025,16709.21,EXPRESS
INV-L5LE0AL, INITECH FREIGHT ,2024-10-05,11624.47,EXPRESS
INV-R4OFS0U,MASSIVE GROUP,2025-09-10,15836.64,EXPRESS
INV-BMQ5PBB,MASSIVE SUPPLY,2024-05-05,6532.54,2DAY
INV-QF7X85M,MASSIVE PARTNERS,25-Aug-2025,5322.13,GROUND
INV-PFY1ZZ0,STARK FREIGHT,"Dec 16, 2025",6821.3,EXPRESS
INV-5R7G7IL, INITECH FREIGHT ,15-Apr-2025,17163.77,EXPRESS
INV-THRBTVN,GREEN FREIGHT,08/12/2025,2310.98,GROUND
INV-KTLMQPT,TYRELL INDUSTRIES,11-Oct-2025,4070.03,GROUND
INV-X8Z6313,TYRELL PARTNERS,"Jul 19, 2024",4788.87,GROUND
INV-OXA2D9P,QUANTUM ENTERPRISES,04/02/2025,2537.67,GROUND
INV-6PESY4N,TYRELL FREIGHT,"Jul 13, 2024",2005.4,GROUND
INV-V3NRJMZ,VECTOR LLC,2024-10-03,9440.15,EXPRESS
INV-ALDZRYG,STARK ENTERPRISES,11/26/2025,4126.52,GROUND
INV-KPH5M3A,STARK PARTNERS,10/03/2024,2512.52,GROUND
INV-KZ3AYR0,NIMBUS GROUP,"Apr 09, 2025",2168.93,GROUND
INV-12KMPCJ,VERTEX PARTNERS,06/18/2025,4844.84,GROUND
INV-4PET915,UMBRELLA INDUSTRIES,2025-04-30,14059.89,EXPRESS
INV-XUJJ4R6,MASSIVE CO,10-Mar-2024,5272.59,GROUND
INV-37120IH,ZENITH SUPPLY,"Dec 29, 2024",20504.04,FREIGHT
INV-4IJU5BW,GREEN CO,2024-01-02,17972.53,EXPRESS
INV-YG8RQ7M,UMBRELLA ENTERPRISES,2024/08/12,2607.74,GROUND
INV-V4SJ3S7,TYRELL FREIGHT,10-Feb-2024,46609.07,FREIGHT
INV-7WJHR55,TYRELL LLC,"Aug 09, 2024",4533.11,GROUND
INV-ECTXI5R,APEX FREIGHT,01/16/2024,4138.94,GROUND
INV-L86TBDE,WONKA SUPPLY,2024-03-20,2233.68,GROUND
INV-IJCPE0K,TYRELL FREIGHT,20-Jun-2024,4876.82,GROUND
INV-AUA5KID,VECTOR LLC,10/02/2024,18041.88,EXPRESS
INV-NN311H0,TYRELL LLC,2025/07/22,18688.47,EXPRESS
INV-H92HHQ4,NIMBUS INDUSTRIES,2025/10/08,3527.29,GROUND
INV-A5E2XSD,TYRELL PARTNERS,2024/10/26,31402.24,FREIGHT
INV-QIIYILP,HOOLI SUPPLY,10/11/2024,4880.91,2DAY
INV-96AJJKF,VERTEX SUPPLY,2024/09/16,18606.37,EXPRESS
INV-CQJEF59,VERTEX PARTNERS,"Feb 25, 2024",24137.96,FREIGHT
INV-5IEB8WM,VECTOR FREIGHT,24-Mar-2025,9015.3,2DAY
INV-KX6AV0C,BLUE PARTNERS,"Sep 20, 2024",2475.35,GROUND
INV-MY3K83U,INITECH SUPPLY,2025/06/23,14695.28,EXPRESS
INV-FBOX4NZ,WONKA LLC,22-Sep-2024,3417.89,GROUND
INV-9DO8C47,WONKA SUPPLY,28-May-2025,7525.85,2DAY
INV-Y5UICD2,STARK ENTERPRISES,30-Oct-2025,9768.37,EXPRESS
INV-JWU7W4Y,APEX FREIGHT,"Jul 16, 2024",4513.01,GROUND
INV-G8VKWW3, UMBRELLA PARTNERS ,05/14/2025,8719.86,EXPRESS
INV-F0C06U9,VERTEX PARTNERS,2025-09-09,4743.07,GROUND
INV-S2KOX2T,TYRELL INDUSTRIES,2024/07/25,48100.01,FREIGHT
INV-S9TDE0H,WAYNE GROUP,01/13/2025,2586.82,GROUND
INV-4U4MD1Z,APEX GROUP,2025-08-07,49216.65,FREIGHT
INV-5MW95A1,WAYNE GROUP,"Feb 03, 2024",10491.79,EXPRESS
INV-O6NVN28,VERTEX PARTNERS,03-Apr-2025,18831.11,EXPRESS
INV-DH1I5T6,TYRELL LLC,09-Jun-2024,6658.29,2DAY
INV-C2CJH7T,NIMBUS GROUP,2024/05/28,5938.91,EXPRESS
INV-NWQ1B1J, BLUE SUPPLY ,2025/06/12,9039.0,EXPRESS
INV-NP1CRNX,TYRELL INDUSTRIES,10/08/2024,4012.97,GROUND
INV-O42FDYO,TYRELL FREIGHT,07/05/2025,4186.29,GROUND
INV-Q48ND59,MASSIVE CO,2024/07/15,3503.33,GROUND
INV-Z53IHB0,HOOLI LOGISTICS,08/04/2025,4578.45,GROUND
INV-H5X8JLG,ZENITH LOGISTICS,28-Mar-2025,10217.57,EXPRESS
INV-AQQGVUQ,VECTOR LLC,02/03/2024,1112.92,GROUND
INV-OSBAF43,STARK PARTNERS,03-Nov-2024,3617.24,2DAY
INV-NKINTP3,GREEN LOGISTICS,09-Jan-2025,1197.16,GROUND
INV-UL6J963,HOOLI CO,03/17/2024,4420.99,GROUND
INV-U488PS0,MASSIVE PARTNERS,30-Mar-2025,7227.18,EXPRESS
INV-JR710XR,HOOLI LOGISTICS,07/25/2025,26862.17,FREIGHT
INV-O7HNC4R,TYRELL LLC,07/25/2024,2623.33,GROUND
INV-2Z780JN, RED LOGISTICS ,21-Nov-2025,3312.11,GROUND
INV-O6ZA2IH,WONKA LLC,"Sep 27, 2024",3330.24,GROUND
INV-EO4LPSQ,BLUE PARTNERS,2025-05-26,11575.54,EXPRESS
INV-Q3C54P7, RED LOGISTICS ,04/07/2025,1206.34,GROUND
INV-11HJ4NG,NIMBUS GROUP,2024/02/13,8891.42,EXPRESS
INV-C89S9SK,MASSIVE PARTNERS,03-Nov-2024,9909.91,EXPRESS
INV-OISG4VA,WAYNE GROUP,08-May-2024,17552.91,FREIGHT
INV-LYCL66N,GREEN LOGISTICS,2025-08-09,3174.78,GROUND
INV-OS9L59R,HOOLI SUPPLY,03/29/2024,8962.73,2DAY
INV-UOB85HC,ACME INDUSTRIES,10/26/2024,5430.25,2DAY
INV-QA7V50S,VECTOR LLC,24-Jan-2024,1470.48,GROUND
INV-HQWXWNW,UMBRELLA INDUSTRIES,08/19/2024,2404.93,GROUND
INV-NNCL092,HOOLI ENTERPRISES,09-Oct-2024,1295.79,GROUND
INV-T2EA4QK,TYRELL FREIGHT,"Aug 07, 2024",5881.47,EXPRESS
INV-HILN9JD, MASSIVE LLC ,2025/01/14,4476.05,GROUND
INV-NX5PJO1,HOOLI LOGISTICS,27-Feb-2024,2250.26,GROUND
INV-K9SC1YI,TYRELL INDUSTRIES,12/28/2025,3647.23,GROUND
INV-LNGA3CR, WAYNE FREIGHT ,11/02/2024,30301.21,FREIGHT
INV-KK0EBNA,VECTOR FREIGHT,20-Dec-2025,2364.85,GROUND
INV-FRRFOCK,STARK ENTERPRISES,05/02/2024,3249.22,GROUND
INV-WCGD3M0,TYRELL FREIGHT,16-Mar-2025,6088.59,2DAY
INV-PFGCO64,STARK PARTNERS,2025/12/30,49237.65,FREIGHT
INV-TCNMTP1,WAYNE HOLDINGS,17-Feb-2024,8122.87,EXPRESS
INV-ZQQH0T7,STARK FREIGHT,20-May-2024,4729.25,GROUND
INV-7LUNJ90,NIMBUS GROUP,20-Jul-2025,7495.93,2DAY
INV-XBN37S8,VERTEX SUPPLY,"Jul 09, 2024",2873.13,GROUND
INV-K2K0DXN,VERTEX PARTNERS,2024-01-07,3825.59,2DAY
INV-JE6SRW5,ZENITH HOLDINGS,"Jan 22, 2025",21684.37,FREIGHT
INV-UOXBQEZ,MASSIVE GROUP,08/20/2025,45691.04,FREIGHT
INV-NUODKC2, MASSIVE LLC ,02/02/2025,3531.55,GROUND
INV-G5MIZ1H, UMBRELLA PARTNERS ,2024/07/17,1411.4,GROUND
INV-I5YS1OE,NIMBUS HOLDINGS,06/21/2024,4793.86,GROUND
INV-IGIB1IS,ZENITH HOLDINGS,2024-08-21,22251.69,FREIGHT
INV-V4KFZAJ,ZENITH HOLDINGS,10-Nov-2025,3414.62,2DAY
INV-8ZC818P,ZENITH HOLDINGS,13-Oct-2025,4629.18,GROUND
INV-T315M6N,MASSIVE SUPPLY,2025/09/05,9029.42,EXPRESS
INV-LXHT9QV,ZENITH LOGISTICS,2025-03-28,10952.28,EXPRESS
INV-T6XR9J1,BLUE CO,2024/10/17,1157.41,GROUND
INV-UWQW15O,VERTEX PARTNERS,2024/11/07,6615.2,2DAY
INV-U28R8P7,WAYNE GROUP,2024/06/27,2681.47,GROUND
INV-EJNXFVP,WAYNE GROUP,01/13/2025,4593.82,GROUND
INV-Z76WD1O,BLUE CO,"Aug 10, 2025",15267.84,EXPRESS
INV-UD1KJXN,GREEN CO,"Oct 06, 2025",4183.78,2DAY
INV-9FWO26E,APEX GROUP,31-Aug-2024,15057.34,EXPRESS
INV-G49TVKV,GREEN LLC,"Oct 08, 2025",5853.19,EXPRESS
INV-YOMH2XG,GREEN LLC,"Jan 09, 2024",2606.47,GROUND
INV-68TY54M,HOOLI LOGISTICS,2024-06-14,28543.77,FREIGHT
INV-718XO08,BLUE PARTNERS,04/25/2025,2039.68,GROUND
INV-9IS35VG,HOOLI CO,03/01/2025,4891.63,GROUND
INV-ER27090,ZENITH LOGISTICS,06/16/2024,11213.25,EXPRESS
INV-0P4LOAC,STARK ENTERPRISES,"Jan 29, 2025",20539.26,EXPRESS
INV-YBRRQUL,WONKA SUPPLY,2024/02/13,9225.53,2DAY
INV-A85OK2Z, BLUE SUPPLY ,21-Jul-2025,1270.4,GROUND
INV-UYBHYGA,WAYNE GROUP,04/03/2024,1877.32,GROUND
INV-2MAX09K,HOOLI LOGISTICS,2025/11/22,42047.89,FREIGHT
INV-6OW5TBA,BLUE ENTERPRISES,2025-06-23,18683.18,EXPRESS
INV-IAF1WP7, MASSIVE LLC ,2024/10/06,13647.28,EXPRESS
INV-CF9Q5GN,ZENITH SUPPLY,"Aug 24, 2025",4900.82,GROUND
INV-1WOE7UR,GREEN LLC,02-Oct-2024,5895.94,2DAY
INV-DFDRCA5, MASSIVE LLC ,10/07/2025,1208.99,GROUND
INV-5T3F8H4,QUANTUM ENTERPRISES,14-Nov-2025,35637.81,FREIGHT
INV-EU0D6SO,TYRELL PARTNERS,"Jul 01, 2024",3703.51,GROUND
INV-VBLJQH4,HOOLI LOGISTICS,2025/10/25,7338.73,EXPRESS
INV-VSIZCXG, BLUE SUPPLY ,"Aug 03, 2025",13136.2,EXPRESS
INV-QL55BIS,MASSIVE SUPPLY,2024-03-08,5366.24,GROUND
INV-PPS6KGI,APEX FREIGHT,2024-03-10,4007.57,GROUND
INV-Q33L987,HOOLI CO,2024/07/12,1609.57,GROUND
INV-2RFVFRA,VERTEX SUPPLY,"Jun 18, 2025",24468.88,FREIGHT
INV-MWWO808,NIMBUS HOLDINGS,09-Feb-2024,9416.21,2DAY
INV-ZWDAVK2,UMBRELLA ENTERPRISES,2025/03/08,5298.6,GROUND
INV-36YVUV0,VECTOR LLC,07/09/2024,7602.41,EXPRESS
INV-TEJBOFD,ZENITH LOGISTICS,2025-10-27,2044.23,GROUND
INV-BSJ6S9M,HOOLI ENTERPRISES,"May 09, 2025",3332.5,2DAY
INV-NU045UA,TYRELL LLC,2025/12/01,4526.63,GROUND
